description_arm,code,description_eng,abb_code,date,sna_info,value,quarter,year,USD_AMD,value_usd,value_yoy,value_usd_yoy
"Ներքին արդյունք (համախառն, շուկայական գներով)",B.1*g,"Domestic product (gross, market prices)",gdp,2015-03-31,SNA 2008,879565.7000000001,1,2015,476.72890625,1845.001820675731,4893253.6,11447.283618977415
"Ներքին արդյունք (համախառն, շուկայական գներով)",B.1*g,"Domestic product (gross, market prices)",gdp,2015-06-30,SNA 2008,1105248,2,2015,476.5458461538461,2319.2899674193914,4967908.7,11271.364146633648
"Ներքին արդյունք (համախառն, շուկայական գներով)",B.1*g,"Domestic product (gross, market prices)",gdp,2015-09-30,SNA 2008,1523902.7000000002,3,2015,479.005,3181.392052275029,5048310.300000001,10918.128868425672
"Ներքին արդյունք (համախառն, շուկայական գներով)",B.1*g,"Domestic product (gross, market prices)",gdp,2015-12-31,SNA 2008,1534916.7999999998,4,2015,477.9307575757576,3211.5882388186697,5043633.2,10557.27207918882
"Ներքին արդյունք (համախառն, շուկայական գներով)",B.1*g,"Domestic product (gross, market prices)",gdp,2016-03-31,SNA 2008,893634.2,1,2016,487.54242424242426,1832.9362852649965,5057701.7,10545.206543778086
"Ներքին արդյունք (համախառն, շուկայական գներով)",B.1*g,"Domestic product (gross, market prices)",gdp,2016-06-30,SNA 2008,1132260.6,2,2016,478.514,2366.201615835691,5084714.300000001,10592.118192194386
"Ներքին արդյունք (համախառն, շուկայական գներով)",B.1*g,"Domestic product (gross, market prices)",gdp,2016-09-30,SNA 2008,1525628.4,3,2016,475.29621212121214,3209.8475878678523,5086440,10620.57372778721
"Ներքին արդյունք (համախառն, շուկայական գներով)",B.1*g,"Domestic product (gross, market prices)",gdp,2016-12-31,SNA 2008,1515770.3,4,2016,478.71,3166.3643959808655,5067293.5,10575.349884949404
"Ներքին արդյունք (համախառն, շուկայական գներով)",B.1*g,"Domestic product (gross, market prices)",gdp,2017-03-31,SNA 2008,971041,1,2017,485.5846153846154,1999.735924975446,5144700.3,10742.149524659855
"Ներքին արդյունք (համախառն, շուկայական գներով)",B.1*g,"Domestic product (gross, market prices)",gdp,2017-06-30,SNA 2008,1212700.8,2,2017,483.3658461538462,2508.86737168025,5225140.5,10884.815280504414
"Ներքին արդյունք (համախառն, շուկայական գներով)",B.1*g,"Domestic product (gross, market prices)",gdp,2017-09-30,SNA 2008,1587405.4,3,2017,478.6426153846154,3316.473186835721,5286917.5,10991.440879472282
"Ներքին արդյունք (համախառն, շուկայական գներով)",B.1*g,"Domestic product (gross, market prices)",gdp,2017-12-31,SNA 2008,1793346.1,4,2017,483.1150769230769,3712.047472046794,5564493.3,11537.12395553821
"Ներքին արդյունք (համախառն, շուկայական գներով)",B.1*g,"Domestic product (gross, market prices)",gdp,2018-03-31,SNA 2008,1115563.9,1,2018,481.61753846153846,2316.2858719047413,5709016.200000001,11853.673902467506
"Ներքին արդյունք (համախառն, շուկայական գներով)",B.1*g,"Domestic product (gross, market prices)",gdp,2018-06-30,SNA 2008,1362703.9,2,2018,483.5663076923077,2818.0290444616453,5859019.300000001,12162.835575248902
"Ներքին արդյունք (համախառն, շուկայական գներով)",B.1*g,"Domestic product (gross, market prices)",gdp,2018-09-30,SNA 2008,1687018.4,3,2018,482.5387692307692,3496.1302750643868,5958632.300000001,12342.492663477567
"Ներքին արդյունք (համախառն, շուկայական գներով)",B.1*g,"Domestic product (gross, market prices)",gdp,2018-12-31,SNA 2008,1851749,4,2018,485.70969696969695,3812.4604296618136,6017035.199999999,12442.905621092588
"Ներքին արդյունք (համախառն, շուկայական գներով)",B.1*g,"Domestic product (gross, market prices)",gdp,2019-03-31,SNA 2008,1242121.8,1,2019,486.6484375,2552.400674254708,6143593.1,12679.020423442553
"Ներքին արդյունք (համախառն, շուկայական գներով)",B.1*g,"Domestic product (gross, market prices)",gdp,2019-06-30,SNA 2008,1484958.1,2,2019,479.89784615384616,3094.3212433671783,6265847.300000001,12955.312622348089
"Ներքին արդյունք (համախառն, շուկայական գներով)",B.1*g,"Domestic product (gross, market prices)",gdp,2019-09-30,SNA 2008,1822640.1,3,2019,475.18439393939394,3835.648062618116,6401469,13294.830409901817
"Ներքին արդյունք (համախառն, շուկայական գներով)",B.1*g,"Domestic product (gross, market prices)",gdp,2019-12-31,SNA 2008,1993601.8,4,2019,475.6837878787879,4191.023219206291,6543321.8,13673.393199446296
"Ներքին արդյունք (համախառն, շուկայական գներով)",B.1*g,"Domestic product (gross, market prices)",gdp,2020-03-31,SNA 2008,1263058.7999999998,1,2020,480.4115384615384,2629.1183680658405,6564258.8,13750.110893257424
"Ներքին արդյունք (համախառն, շուկայական գներով)",B.1*g,"Domestic product (gross, market prices)",gdp,2020-06-30,SNA 2008,1274458.7,2,2020,483.2713846153846,2637.149106219662,6353759.4,13292.93875610991
"Ներքին արդյունք (համախառն, շուկայական գներով)",B.1*g,"Domestic product (gross, market prices)",gdp,2020-09-30,SNA 2008,1743630.7999999998,3,2020,484.37666666666667,3599.7415234700266,6274750.1,13057.03221696182
"Ներքին արդյունք (համախառն, շուկայական գներով)",B.1*g,"Domestic product (gross, market prices)",gdp,2020-12-31,SNA 2008,1900754.3000000005,4,2020,500.8028787878788,3795.414085079746,6181902.6,12661.423082835276
"Ներքին արդյունք (համախառն, շուկայական գներով)",B.1*g,"Domestic product (gross, market prices)",gdp,2021-03-31,SNA 2008,1282290.1,1,2021,522.54765625,2453.9199146010906,6201133.9,12486.224629370525
"Ներքին արդյունք (համախառն, շուկայական գներով)",B.1*g,"Domestic product (gross, market prices)",gdp,2021-06-30,SNA 2008,1577120.1,2,2021,518.8441538461539,3039.6798119607283,6503795.300000001,12888.755335111591
"Ներքին արդյունք (համախառն, շուկայական գներով)",B.1*g,"Domestic product (gross, market prices)",gdp,2021-09-30,SNA 2008,1909558.9,3,2021,489.9818181818182,3897.203588259304,6669723.4,13186.21739990087
"Ներքին արդյունք (համախառն, շուկայական գներով)",B.1*g,"Domestic product (gross, market prices)",gdp,2021-12-31,SNA 2008,2222808.7,4,2021,481.31742424242424,4618.176255510838,6991777.8,14008.97957033196
"Ներքին արդյունք (համախառն, շուկայական գներով)",B.1*g,"Domestic product (gross, market prices)",gdp,2022-03-31,SNA 2008,1487927,1,2022,486.89070646666664,3055.9774097924087,7197414.7,14611.03706552328
"Ներքին արդյունք (համախառն, շուկայական գներով)",B.1*g,"Domestic product (gross, market prices)",gdp,2022-06-30,SNA 2008,1900956,2,2022,453.17880192307695,4194.71518070404,7521250.6,15766.072434266593
"Ներքին արդյունք (համախառն, շուկայական գներով)",B.1*g,"Domestic product (gross, market prices)",gdp,2022-09-30,SNA 2008,2379443,3,2022,407.2822706630435,5842.245468054225,7991134.7,17711.114314061513
"Ներքին արդյունք (համախառն, շուկայական գներով)",B.1*g,"Domestic product (gross, market prices)",gdp,2022-12-31,SNA 2008,2733109.5,4,2022,397.96744542391303,6867.671040501076,8501435.5,19960.609099051748
"Ներքին արդյունք (համախառն, շուկայական գներով)",B.1*g,"Domestic product (gross, market prices)",gdp,2023-03-31,SNA 2008,1788263.3,1,2023,392.3491623888889,4557.836415686057,8801771.8,21462.46810494539
"Ներքին արդյունք (համախառն, շուկայական գներով)",B.1*g,"Domestic product (gross, market prices)",gdp,2023-06-30,SNA 2008,2138375.5,2,2023,386.818423,5528.111829358241,9039191.3,22795.8647535996
Վերջնական սպառման ծախսեր,P.3,Total final consumption expenditure,fin_consumption,2000-03-31,SNA 1993,218585.6,1,2000,NA,NA,NA,NA
Վերջնական սպառման ծախսեր,P.3,Total final consumption expenditure,fin_consumption,2000-06-30,SNA 1993,251846.3,2,2000,NA,NA,NA,NA
Վերջնական սպառման ծախսեր,P.3,Total final consumption expenditure,fin_consumption,2000-09-30,SNA 1993,306280.2,3,2000,NA,NA,NA,NA
Վերջնական սպառման ծախսեր,P.3,Total final consumption expenditure,fin_consumption,2000-12-31,SNA 1993,346783.1,4,2000,NA,NA,1123495.2000000002,NA
Վերջնական սպառման ծախսեր,P.3,Total final consumption expenditure,fin_consumption,2001-03-31,SNA 1993,226998.4,1,2001,NA,NA,1131908,NA
Վերջնական սպառման ծախսեր,P.3,Total final consumption expenditure,fin_consumption,2001-06-30,SNA 1993,271923.8,2,2001,NA,NA,1151985.5,NA
Վերջնական սպառման ծախսեր,P.3,Total final consumption expenditure,fin_consumption,2001-09-30,SNA 1993,350839.7,3,2001,NA,NA,1196545,NA
Վերջնական սպառման ծախսեր,P.3,Total final consumption expenditure,fin_consumption,2001-12-31,SNA 1993,382981.8,4,2001,NA,NA,1232743.7,NA
Վերջնական սպառման ծախսեր,P.3,Total final consumption expenditure,fin_consumption,2002-03-31,SNA 1993,235790.1,1,2002,NA,NA,1241535.4,NA
Վերջնական սպառման ծախսեր,P.3,Total final consumption expenditure,fin_consumption,2002-06-30,SNA 1993,266788.4,2,2002,NA,NA,1236400,NA
Վերջնական սպառման ծախսեր,P.3,Total final consumption expenditure,fin_consumption,2002-09-30,SNA 1993,399851.8,3,2002,NA,NA,1285412.1,NA
Վերջնական սպառման ծախսեր,P.3,Total final consumption expenditure,fin_consumption,2002-12-31,SNA 1993,447394.1,4,2002,NA,NA,1349824.4,NA
Վերջնական սպառման ծախսեր,P.3,Total final consumption expenditure,fin_consumption,2003-03-31,SNA 1993,265059.1,1,2003,NA,NA,1379093.4,NA
Վերջնական սպառման ծախսեր,P.3,Total final consumption expenditure,fin_consumption,2003-06-30,SNA 1993,312724.1,2,2003,NA,NA,1425029.1,NA
Վերջնական սպառման ծախսեր,P.3,Total final consumption expenditure,fin_consumption,2003-09-30,SNA 1993,451928,3,2003,NA,NA,1477105.2999999998,NA
Վերջնական սպառման ծախսեր,P.3,Total final consumption expenditure,fin_consumption,2003-12-31,SNA 1993,489178.9,4,2003,NA,NA,1518890.1,NA
Վերջնական սպառման ծախսեր,P.3,Total final consumption expenditure,fin_consumption,2004-03-31,SNA 1993,306057.2,1,2004,NA,NA,1559888.2,NA
Վերջնական սպառման ծախսեր,P.3,Total final consumption expenditure,fin_consumption,2004-06-30,SNA 1993,360631.3,2,2004,NA,NA,1607795.4,NA
Վերջնական սպառման ծախսեր,P.3,Total final consumption expenditure,fin_consumption,2004-09-30,SNA 1993,545154.2,3,2004,NA,NA,1701021.6,NA
Վերջնական սպառման ծախսեր,P.3,Total final consumption expenditure,fin_consumption,2004-12-31,SNA 1993,555844.1,4,2004,482.9347826086956,1150.9713526896242,1767686.7999999998,NA
Վերջնական սպառման ծախսեր,P.3,Total final consumption expenditure,fin_consumption,2005-03-31,SNA 1993,361529.7,1,2005,475.8203125,759.8029981118135,1823159.3,NA
Վերջնական սպառման ծախսեր,P.3,Total final consumption expenditure,fin_consumption,2005-06-30,SNA 1993,440381.99999999994,2,2005,450.4923076923077,977.5572023768868,1902910,NA
Վերջնական սպառման ծախսեր,P.3,Total final consumption expenditure,fin_consumption,2005-09-30,SNA 1993,560866.6,3,2005,453.2583333333333,1237.4104539353937,1918622.4,4125.7420071137185
Վերջնական սպառման ծախսեր,P.3,Total final consumption expenditure,fin_consumption,2005-12-31,SNA 1993,567198,4,2005,452.29846153846154,1254.0347762199228,1929976.3,4228.805430644016
Վերջնական սպառման ծախսեր,P.3,Total final consumption expenditure,fin_consumption,2006-03-31,SNA 1993,399312,1,2006,451.4187692307692,884.5711060717288,1967758.6,4353.573538603931
Վերջնական սպառման ծախսեր,P.3,Total final consumption expenditure,fin_consumption,2006-06-30,SNA 1993,505011.1999999999,2,2006,436.1709230769231,1157.8286705529342,2032387.8,4533.8450067799795
Վերջնական սպառման ծախսեր,P.3,Total final consumption expenditure,fin_consumption,2006-09-30,SNA 1993,648127.4,3,2006,401.02215384615386,1616.18851672879,2119648.6,4912.623069573376
Վերջնական սպառման ծախսեր,P.3,Total final consumption expenditure,fin_consumption,2006-12-31,SNA 1993,634678.3999999999,4,2006,373.5910769230769,1698.8585627559871,2187129,5357.44685610944
Վերջնական սպառման ծախսեր,P.3,Total final consumption expenditure,fin_consumption,2007-03-31,SNA 1993,477659.3,1,2007,359.4236923076923,1328.9588589254422,2265476.3,5801.834608963154
Վերջնական սպառման ծախսեր,P.3,Total final consumption expenditure,fin_consumption,2007-06-30,SNA 1993,596192.8,2,2007,353.1206153846154,1688.354556560321,2356657.9,6332.36049497054
Վերջնական սպառման ծախսեր,P.3,Total final consumption expenditure,fin_consumption,2007-09-30,SNA 1993,751915.1,3,2007,337.5812307692308,2227.36050309031,2460445.6,6943.53248133206
Վերջնական սպառման ծախսեր,P.3,Total final consumption expenditure,fin_consumption,2007-12-31,SNA 1993,750478.1,4,2007,316.85318181818184,2368.5357858600983,2576245.3000000003,7613.209704436172
Վերջնական սպառման ծախսեր,P.3,Total final consumption expenditure,fin_consumption,2008-03-31,SNA 1993,556513.2,1,2008,307.58353846153847,1809.3074901977848,2655099.2,8093.558335708514
Վերջնական սպառման ծախսեր,P.3,Total final consumption expenditure,fin_consumption,2008-06-30,SNA 1993,673727.9,2,2008,307.10615384615386,2193.7948541972455,2732634.3,8598.998633345438
Վերջնական սպառման ծախսեր,P.3,Total final consumption expenditure,fin_consumption,2008-09-30,SNA 1993,855113.8,3,2008,302.1589393939394,2830.013243080478,2835833,9201.651373335608
Վերջնական սպառման ծախսեր,P.3,Total final consumption expenditure,fin_consumption,2008-12-31,SNA 1993,833426.1,4,2008,306.21378787878785,2721.713172268731,2918781,9554.82875974424
Վերջնական սպառման ծախսեր,P.3,Total final consumption expenditure,fin_consumption,2009-03-31,SNA 1993,560260.4,1,2009,326.3721875,1716.6303424675243,2922528.2,9462.15161201398
Վերջնական սպառման ծախսեր,P.3,Total final consumption expenditure,fin_consumption,2009-06-30,SNA 1993,677498.3,2,2009,371.06738461538464,1825.809349162375,2926298.5999999996,9094.166106979108
Վերջնական սպառման ծախսեր,P.3,Total final consumption expenditure,fin_consumption,2009-09-30,SNA 1993,829514,3,2009,372.92015151515153,2224.3742973656313,2900698.8,8488.527161264261
Վերջնական սպառման ծախսեր,P.3,Total final consumption expenditure,fin_consumption,2009-12-31,SNA 1993,876703.2,4,2009,384.27666666666664,2281.4375059635854,2943975.9000000004,8048.251494959117
Վերջնական սպառման ծախսեր,P.3,Total final consumption expenditure,fin_consumption,2010-03-31,SNA 1993,640432.4,1,2010,384.50203125,1665.6151280085078,3024147.9,7997.236280500099
Վերջնական սպառման ծախսեր,P.3,Total final consumption expenditure,fin_consumption,2010-06-30,SNA 1993,737151.5,2,2010,383.7153846153846,1921.089248842291,3083801.1,8092.516180180015
Վերջնական սպառման ծախսեր,P.3,Total final consumption expenditure,fin_consumption,2010-09-30,SNA 1993,942273.3,3,2010,365.6118181818182,2577.250660785284,3196560.4000000004,8445.392543599668
Վերջնական սպառման ծախսեր,P.3,Total final consumption expenditure,fin_consumption,2010-12-31,SNA 1993,969690.7,4,2010,359.4166666666667,2697.956967308138,3289547.9000000004,8861.91200494422
Վերջնական սպառման ծախսեր,P.3,Total final consumption expenditure,fin_consumption,2011-03-31,SNA 1993,711992,1,2011,364.49921875,1953.3430069937565,3361107.5,9149.639883929469
Վերջնական սպառման ծախսեր,P.3,Total final consumption expenditure,fin_consumption,2011-06-30,SNA 1993,842445.2,2,2011,373.63092307692307,2254.7523450743865,3466401.2,9483.302980161565
Վերջնական սպառման ծախսեր,P.3,Total final consumption expenditure,fin_consumption,2011-09-30,SNA 1993,1018354.9,3,2011,371.8333333333333,2738.7402061855673,3542482.8,9644.792525561848
