commodity_code,commodity_arm_short
79,Ցինկ և իրեր դրանից
80,Անագ և իրեր դրանից
81,Այլ ոչ թանկարժեք մետաղներ
82,"Գործիքներ, դանակներ, գդալներ, պատառաքաղներ ոչ թանկարժեք մետաղներից"
83,Այլ իրեր ոչ թանկարժեք մետաղներից
84,"Սարքավորումներ և մեխանիկական մասեր, միջուկային ռեակտորներ, կաթսաներ"
85,"Էլեկտրական մեքենաներ և սարքավորումներ, ձայնագրող ապարատներ և դրանց մասեր"
86,"Լոկոմոտիվներ,տրամվայներ և դրանց մասեր"
87,Վերգետնյա տրանսպորտի միջոցներ և մասեր
88,Թռչող ապարատներ և դրանց մասեր
89,"Նավեր, նավակներ և այլ լողացող միջոցներ"
90,"Օպտիկական, լուսանկարչական չափիչ, բժշկականվիրաբուժական սարքեր և ապարատներ,  մասեր և հարմարանքներ դրանց"
91,Ժամացույցներ և դրանց մասեր
92,Երաժշտական գործիքներ և դրանց մասեր
93,"Զենք, զինամթերք"
94,"Կահույք, անկողնային պարագաներ և դրանց հարակից մասեր"
95,"Խաղալիքներ, խաղեր և սպորտային գույք, դրանց մասեր և հարմարանքներ"
96,Տարբեր պատրաստի իրեր
97,"Արվեստի ստեղծագործություններ, հնաոճ իրեր"
99,Այլ
