country,indicator_group,indicator,mean_price,min_range,max_range,info_entries,info_contributers,last_update
Armenia,Salaries And Financing,Average Monthly Net Salary (After Tax),637.26,NA,NA,2452,232,2024-08-01
Armenia,Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",15.219999999999999,12,20,2452,232,2024-08-01
Aruba,Salaries And Financing,Average Monthly Net Salary (After Tax),1933.74,NA,NA,146,17,2024-06-01
Aruba,Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",6.74,6,7,146,17,2024-06-01
Australia,Salaries And Financing,Average Monthly Net Salary (After Tax),3686.98,NA,NA,15982,1829,2024-08-01
Australia,Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",6.39,5.319999999999999,7.2,15982,1829,2024-08-01
Austria,Salaries And Financing,Average Monthly Net Salary (After Tax),2940.8900000000003,NA,NA,5721,748,2024-08-01
Austria,Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",3.09,1.8,4,5721,748,2024-08-01
Azerbaijan,Salaries And Financing,Average Monthly Net Salary (After Tax),437.62,NA,NA,2713,294,2024-08-01
Azerbaijan,Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",9.09,7,14,2713,294,2024-08-01
Bahamas,Salaries And Financing,Average Monthly Net Salary (After Tax),1902.06,NA,NA,204,28,2024-07-01
Bahamas,Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",7.46,4.75,15,204,28,2024-07-01
Bahrain,Salaries And Financing,Average Monthly Net Salary (After Tax),2250.2,NA,NA,890,113,2024-08-01
Bahrain,Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",7.659999999999999,5.5,10,890,113,2024-08-01
Bangladesh,Salaries And Financing,Average Monthly Net Salary (After Tax),239.73,NA,NA,3635,348,2024-08-01
Bangladesh,Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",9.81,8,13.55,3635,348,2024-08-01
Barbados,Salaries And Financing,Average Monthly Net Salary (After Tax),1193.1599999999999,NA,NA,253,32,2024-06-01
Barbados,Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",5.619999999999999,4,9,253,32,2024-06-01
Belarus,Salaries And Financing,Average Monthly Net Salary (After Tax),518.3299999999999,NA,NA,2384,179,2024-07-01
Belarus,Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",15.7,12.5,23,2384,179,2024-07-01
Belgium,Salaries And Financing,Average Monthly Net Salary (After Tax),3139.6,NA,NA,4579,683,2024-08-01
Belgium,Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",2.9699999999999998,1.95,4,4579,683,2024-08-01
Belize,Salaries And Financing,Average Monthly Net Salary (After Tax),1137.52,NA,NA,187,32,2024-08-01
Belize,Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",12.5,10,15,187,32,2024-08-01
Benin,Salaries And Financing,Average Monthly Net Salary (After Tax),286.09,NA,NA,67,6,2023-12-01
Benin,Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",5,NA,NA,67,6,2023-12-01
Bermuda,Salaries And Financing,Average Monthly Net Salary (After Tax),6050,NA,NA,358,53,2024-08-01
Bermuda,Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",6.98,6.5,8,358,53,2024-08-01
Bhutan,Salaries And Financing,Average Monthly Net Salary (After Tax),444.04,NA,NA,114,19,2024-06-01
Bhutan,Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",10.25,7,12,114,19,2024-06-01
Bolivia,Salaries And Financing,Average Monthly Net Salary (After Tax),397.01,NA,NA,852,56,2024-08-01
Bolivia,Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",7.2700000000000005,6,12,852,56,2024-08-01
Bonaire,Salaries And Financing,Average Monthly Net Salary (After Tax),1625.5,NA,NA,38,7,2024-07-01
Bosnia And Herzegovina,Salaries And Financing,Average Monthly Net Salary (After Tax),706.3,NA,NA,3432,328,2024-08-01
Bosnia And Herzegovina,Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",4.33,3,6,3432,328,2024-08-01
Botswana,Salaries And Financing,Average Monthly Net Salary (After Tax),822.2,NA,NA,592,45,2024-08-01
Botswana,Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",10.370000000000001,7.5,15,592,45,2024-08-01
Brazil,Salaries And Financing,Average Monthly Net Salary (After Tax),405.90999999999997,NA,NA,23496,1881,2024-08-01
Brazil,Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",10.82,8,14,23496,1881,2024-08-01
British Virgin Islands,Salaries And Financing,Average Monthly Net Salary (After Tax),2081,NA,NA,139,12,2024-07-01
British Virgin Islands,Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",5.5,NA,NA,139,12,2024-07-01
Brunei,Salaries And Financing,Average Monthly Net Salary (After Tax),2086.73,NA,NA,303,34,2024-07-01
Brunei,Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",3.8,3,4.8,303,34,2024-07-01
Bulgaria,Salaries And Financing,Average Monthly Net Salary (After Tax),964.61,NA,NA,8412,754,2024-08-01
Bulgaria,Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",4.2700000000000005,2.5,5.7,8412,754,2024-08-01
Burkina Faso,Salaries And Financing,Average Monthly Net Salary (After Tax),570.09,NA,NA,11,3,2024-03-01
Burkina Faso,Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",8,NA,NA,11,3,2024-03-01
Burundi,Salaries And Financing,Average Monthly Net Salary (After Tax),598.8499999999999,NA,NA,15,9,2024-05-01
Burundi,Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",14.719999999999999,14.17,15,15,9,2024-05-01
Cambodia,Salaries And Financing,Average Monthly Net Salary (After Tax),323.53,NA,NA,903,93,2024-07-01
Cambodia,Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",9.69,7,18,903,93,2024-07-01
Cameroon,Salaries And Financing,Average Monthly Net Salary (After Tax),162.44,NA,NA,787,63,2024-08-01
Cameroon,Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",18.959999999999997,12,20,787,63,2024-08-01
Canada,Salaries And Financing,Average Monthly Net Salary (After Tax),2881.2799999999997,NA,NA,37741,4847,2024-08-01
Canada,Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",6.73,5.05,7.8,37741,4847,2024-08-01
Cape Verde,Salaries And Financing,Average Monthly Net Salary (After Tax),247.76999999999998,NA,NA,138,16,2024-07-01
Cape Verde,Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",7.67,6,9,138,16,2024-07-01
Cayman Islands,Salaries And Financing,Average Monthly Net Salary (After Tax),5897.75,NA,NA,386,39,2024-07-01
Cayman Islands,Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",7.17,4.25,9,386,39,2024-07-01
Central African Republic,Salaries And Financing,Average Monthly Net Salary (After Tax),831.54,NA,NA,23,4,2024-07-01
Chad,Salaries And Financing,Average Monthly Net Salary (After Tax),333.31,NA,NA,55,6,2024-05-01
Chad,Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",3.5,NA,NA,55,6,2024-05-01
Chile,Salaries And Financing,Average Monthly Net Salary (After Tax),681.93,NA,NA,4069,372,2024-08-01
Chile,Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",5.1499999999999995,4,7.5,4069,372,2024-08-01
China,Salaries And Financing,Average Monthly Net Salary (After Tax),946.53,NA,NA,16934,1601,2024-08-01
China,Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",4.52,3.5,5.5,16934,1601,2024-08-01
Colombia,Salaries And Financing,Average Monthly Net Salary (After Tax),367.41999999999996,NA,NA,5831,608,2024-08-01
Colombia,Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",14.07,9.6,18.5,5831,608,2024-08-01
Cook Islands,Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",8,NA,NA,27,2,2024-05-01
Costa Rica,Salaries And Financing,Average Monthly Net Salary (After Tax),928.2,NA,NA,1711,155,2024-08-01
Costa Rica,Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",10.27,8,13,1711,155,2024-08-01
Croatia,Salaries And Financing,Average Monthly Net Salary (After Tax),1353.84,NA,NA,6823,647,2024-08-01
Croatia,Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",4.22,2.5,4.7,6823,647,2024-08-01
Cuba,Salaries And Financing,Average Monthly Net Salary (After Tax),36.86,NA,NA,795,33,2024-07-01
Cuba,Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",9.69,5,15,795,33,2024-07-01
Curacao,Salaries And Financing,Average Monthly Net Salary (After Tax),937.19,NA,NA,124,19,2024-05-01
Curacao,Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",5.25,4.8,5.85,124,19,2024-05-01
Cyprus,Salaries And Financing,Average Monthly Net Salary (After Tax),1784.54,NA,NA,3127,418,2024-08-01
Cyprus,Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",4.05,2.8,5.35,3127,418,2024-08-01
Czech Republic,Salaries And Financing,Average Monthly Net Salary (After Tax),1601.74,NA,NA,11611,892,2024-08-01
Czech Republic,Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",5.659999999999999,4.38,6.6899999999999995,11611,892,2024-08-01
Democratic Republic of the Congo,Salaries And Financing,Average Monthly Net Salary (After Tax),500,NA,NA,244,23,2024-08-01
Democratic Republic of the Congo,Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",17,12,21,244,23,2024-08-01
Denmark,Salaries And Financing,Average Monthly Net Salary (After Tax),3725.4300000000003,NA,NA,5017,536,2024-08-01
Denmark,Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",4.04,2,5,5017,536,2024-08-01
Djibouti,Salaries And Financing,Average Monthly Net Salary (After Tax),4994.89,NA,NA,49,7,2024-07-01
Dominica,Salaries And Financing,Average Monthly Net Salary (After Tax),545.7800000000001,NA,NA,110,5,2024-04-01
Dominican Republic,Salaries And Financing,Average Monthly Net Salary (After Tax),407.85,NA,NA,1064,116,2024-08-01
Dominican Republic,Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",12.93,9,20,1064,116,2024-08-01
Ecuador,Salaries And Financing,Average Monthly Net Salary (After Tax),495.54,NA,NA,2311,185,2024-08-01
Ecuador,Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",10.05,7,15,2311,185,2024-08-01
Egypt,Salaries And Financing,Average Monthly Net Salary (After Tax),141.67,NA,NA,4916,484,2024-08-01
Egypt,Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",14.729999999999999,8,22,4916,484,2024-08-01
El Salvador,Salaries And Financing,Average Monthly Net Salary (After Tax),541.54,NA,NA,562,47,2024-07-01
El Salvador,Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",9.75,6,13,562,47,2024-07-01
Equatorial Guinea,Salaries And Financing,Average Monthly Net Salary (After Tax),541.62,NA,NA,5,1,2023-06-01
Eritrea,Salaries And Financing,Average Monthly Net Salary (After Tax),1060,NA,NA,56,3,2024-03-01
Eritrea,Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",12,NA,NA,56,3,2024-03-01
Estonia,Salaries And Financing,Average Monthly Net Salary (After Tax),1603.84,NA,NA,3258,326,2024-08-01
Estonia,Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",4.88,2.3,6,3258,326,2024-08-01
Ethiopia,Salaries And Financing,Average Monthly Net Salary (After Tax),220.36,NA,NA,594,56,2024-08-01
Ethiopia,Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",15,9.5,17,594,56,2024-08-01
Falkland Islands,Salaries And Financing,Average Monthly Net Salary (After Tax),3808.73,NA,NA,12,1,2024-06-01
Faroe Islands,Salaries And Financing,Average Monthly Net Salary (After Tax),2112.64,NA,NA,75,13,2024-05-01
Faroe Islands,Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",3.1,2.9899999999999998,3.2,75,13,2024-05-01
Fiji,Salaries And Financing,Average Monthly Net Salary (After Tax),944.99,NA,NA,583,49,2024-08-01
Fiji,Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",6.08,4,12,583,49,2024-08-01
Finland,Salaries And Financing,Average Monthly Net Salary (After Tax),2853.57,NA,NA,5569,548,2024-08-01
Finland,Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",3.54,1.5,4.6,5569,548,2024-08-01
France,Salaries And Financing,Average Monthly Net Salary (After Tax),3019.8700000000003,NA,NA,11769,1608,2024-08-01
France,Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",3.06,2.2,4,11769,1608,2024-08-01
French Guiana,Salaries And Financing,Average Monthly Net Salary (After Tax),1694.42,NA,NA,17,2,2023-10-01
French Guiana,Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",2.05,1.6,2.5,17,2,2023-10-01
French Polynesia,Salaries And Financing,Average Monthly Net Salary (After Tax),1577.95,NA,NA,95,13,2024-07-01
French Polynesia,Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",4.81,NA,NA,95,13,2024-07-01
French Southern Territories,Salaries And Financing,Average Monthly Net Salary (After Tax),2458.55,NA,NA,40,4,2024-05-01
French Southern Territories,Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",4,NA,NA,40,4,2024-05-01
Gabon,Salaries And Financing,Average Monthly Net Salary (After Tax),394.40999999999997,NA,NA,46,7,2023-12-01
Gabon,Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",14,10,18,46,7,2023-12-01
Gambia,Salaries And Financing,Average Monthly Net Salary (After Tax),57.55,NA,NA,132,15,2024-07-01
Gambia,Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",10.12,5.25,15,132,15,2024-07-01
Georgia,Salaries And Financing,Average Monthly Net Salary (After Tax),482.89,NA,NA,4987,484,2024-08-01
Georgia,Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",11.7,7,15,4987,484,2024-08-01
Germany,Salaries And Financing,Average Monthly Net Salary (After Tax),3699.08,NA,NA,38244,3925,2024-08-01
Germany,Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",3.51,2.21,4,38244,3925,2024-08-01
Ghana,Salaries And Financing,Average Monthly Net Salary (After Tax),216.78,NA,NA,771,79,2024-07-01
Ghana,Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",23.67,20,27,771,79,2024-07-01
Gibraltar,Salaries And Financing,Average Monthly Net Salary (After Tax),2927.77,NA,NA,134,15,2024-06-01
Gibraltar,Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",3.7,3,4.5,134,15,2024-06-01
Greece,Salaries And Financing,Average Monthly Net Salary (After Tax),1018.52,NA,NA,10813,1035,2024-08-01
Greece,Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",4.46,4,5.8,10813,1035,2024-08-01
Greenland,Salaries And Financing,Average Monthly Net Salary (After Tax),3913.21,NA,NA,274,19,2024-07-01
Greenland,Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",5.659999999999999,3.42,7.33,274,19,2024-07-01
Grenada,Salaries And Financing,Average Monthly Net Salary (After Tax),1204.73,NA,NA,137,15,2024-07-01
Grenada,Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",6.659999999999999,5,8,137,15,2024-07-01
Guadeloupe,Salaries And Financing,Average Monthly Net Salary (After Tax),2849.9100000000003,NA,NA,60,6,2024-06-01
Guadeloupe,Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",4.95,NA,NA,60,6,2024-06-01
Guam,Salaries And Financing,Average Monthly Net Salary (After Tax),4180.1500000000005,NA,NA,150,34,2024-07-01
Guam,Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",4.319999999999999,3.7,4.75,150,34,2024-07-01
Guatemala,Salaries And Financing,Average Monthly Net Salary (After Tax),522.59,NA,NA,612,53,2024-07-01
Guatemala,Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",8.32,6.5,10,612,53,2024-07-01
Guernsey,Salaries And Financing,Average Monthly Net Salary (After Tax),3670.61,NA,NA,220,46,2024-07-01
Guernsey,Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",3.56,3,4.1,220,46,2024-07-01
Guinea,Salaries And Financing,Average Monthly Net Salary (After Tax),2512.5,NA,NA,43,6,2024-05-01
Guinea,Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",8.18,5.359999999999999,11,43,6,2024-05-01
Guyana,Salaries And Financing,Average Monthly Net Salary (After Tax),583.48,NA,NA,386,32,2024-08-01
Guyana,Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",6.5,4.5,8,386,32,2024-08-01
Haiti,Salaries And Financing,Average Monthly Net Salary (After Tax),1480,NA,NA,73,6,2024-05-01
Haiti,Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",13.5,12,15,73,6,2024-05-01
Honduras,Salaries And Financing,Average Monthly Net Salary (After Tax),574.93,NA,NA,490,45,2024-08-01
Honduras,Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",12.03,10,16,490,45,2024-08-01
Hong Kong (China),Salaries And Financing,Average Monthly Net Salary (After Tax),4133.09,NA,NA,2529,348,2024-08-01
Hong Kong (China),Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",4.08,3,5,2529,348,2024-08-01
Hungary,Salaries And Financing,Average Monthly Net Salary (After Tax),993.4399999999999,NA,NA,7520,798,2024-08-01
Hungary,Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",8.32,6.5,13,7520,798,2024-08-01
Iceland,Salaries And Financing,Average Monthly Net Salary (After Tax),4327.1,NA,NA,1674,231,2024-08-01
Iceland,Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",7.55,3.7,11,1674,231,2024-08-01
India,Salaries And Financing,Average Monthly Net Salary (After Tax),619.7700000000001,NA,NA,52518,5312,2024-08-01
India,Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",8.9,7,12,52518,5312,2024-08-01
Indonesia,Salaries And Financing,Average Monthly Net Salary (After Tax),318.98999999999995,NA,NA,5343,549,2024-08-01
Indonesia,Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",9.19,5,12.350000000000001,5343,549,2024-08-01
Iran,Salaries And Financing,Average Monthly Net Salary (After Tax),263.46,NA,NA,5184,458,2024-08-01
Iran,Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",22.53,18,30,5184,458,2024-08-01
Iraq,Salaries And Financing,Average Monthly Net Salary (After Tax),519.31,NA,NA,2572,151,2024-08-01
Iraq,Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",9.9,5,18,2572,151,2024-08-01
Ireland,Salaries And Financing,Average Monthly Net Salary (After Tax),3242.15,NA,NA,6921,912,2024-08-01
Ireland,Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",4.29,2.6,4.9,6921,912,2024-08-01
Isle Of Man,Salaries And Financing,Average Monthly Net Salary (After Tax),4526.46,NA,NA,134,20,2024-08-01
Isle Of Man,Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",2.74,2.25,3.5,134,20,2024-08-01
Israel,Salaries And Financing,Average Monthly Net Salary (After Tax),2558.19,NA,NA,7561,835,2024-08-01
Israel,Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",4.4,2.5,6,7561,835,2024-08-01
Italy,Salaries And Financing,Average Monthly Net Salary (After Tax),1871.9,NA,NA,25983,2758,2024-08-01
Italy,Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",4.28,2.3499999999999996,4.9,25983,2758,2024-08-01
Ivory Coast,Salaries And Financing,Average Monthly Net Salary (After Tax),195.7,NA,NA,418,36,2024-07-01
Ivory Coast,Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",12.83,6.8,16,418,36,2024-07-01
Jamaica,Salaries And Financing,Average Monthly Net Salary (After Tax),668.61,NA,NA,493,64,2024-08-01
Jamaica,Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",8.77,5,12.5,493,64,2024-08-01
Japan,Salaries And Financing,Average Monthly Net Salary (After Tax),2347.21,NA,NA,5076,619,2024-08-01
Japan,Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",1.6500000000000001,1,2.25,5076,619,2024-08-01
Jersey,Salaries And Financing,Average Monthly Net Salary (After Tax),3253.29,NA,NA,303,47,2024-08-01
Jersey,Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",2.8,1.3,5.25,303,47,2024-08-01
Jordan,Salaries And Financing,Average Monthly Net Salary (After Tax),646.74,NA,NA,2403,186,2024-08-01
Jordan,Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",7.44,5,9,2403,186,2024-08-01
Kazakhstan,Salaries And Financing,Average Monthly Net Salary (After Tax),568.55,NA,NA,5074,446,2024-08-01
Kazakhstan,Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",17.110000000000003,12,20,5074,446,2024-08-01
Kenya,Salaries And Financing,Average Monthly Net Salary (After Tax),380.3,NA,NA,2133,211,2024-08-01
Kenya,Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",13.02,10,16,2133,211,2024-08-01
Kiribati,Salaries And Financing,Average Monthly Net Salary (After Tax),5899.9,NA,NA,0,0,2023-02-01
Kiribati,Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",13,NA,NA,0,0,2023-02-01
Kosovo (Disputed Territory),Salaries And Financing,Average Monthly Net Salary (After Tax),508.53,NA,NA,808,86,2024-07-01
Kosovo (Disputed Territory),Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",4.31,3.6,6,808,86,2024-07-01
Kuwait,Salaries And Financing,Average Monthly Net Salary (After Tax),2995.71,NA,NA,1317,154,2024-08-01
Kuwait,Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",5.46,2.5,10,1317,154,2024-08-01
Kyrgyzstan,Salaries And Financing,Average Monthly Net Salary (After Tax),348,NA,NA,1172,83,2024-08-01
