"date","year","months","hh","indicator","value","info"
"2011-03-01",2011,"mar","1.1.4","Ակցիզային հարկ",1189.2,NA
"2011-03-01",2011,"mar","1.1.5","Ծխախոտի արտադրանքի համար հաստատագրված վճար",968.1,NA
"2011-03-01",2011,"mar","1.1.6","""Հաստատագրված վճարի մասին"" ՀՀ օրենքով սահմանված գործունեության տեսակներից հաստատագրված վճար",1582.743,NA
"2011-03-01",2011,"mar","1.1.7","Մաքսատուրք",2932.3,NA
"2011-03-01",2011,"mar","1.1.8","Այլ հարկային եկամուտներ",1780.5979999999995,"Այլ հարկային եկամուտներում ներառված են` գույքահարկը և հողի հարկը (պետական բյուջե հաշվեգրվող), արտոնագրային վճարները, բնապահպանական և բնօգտագործման պարտադիր վճարները,  ճանապարհային վճարները,պարզեցված հարկը, հանրային ծառայությունների կարգավորման պարտադիր վճարները,  «Հարկերի մասին» ՀՀ օրենքով սահմանված տուգանքները (26,27, 28,30, 31 հոդվածների մասով), բենզինի և դիզելային վառելիքի հաստատագրված վճարը, ՀՀ տարածք ներմուծվող ԱՏԳ ԱԱ 2208 ապրանքային ծածկագրին դասվող օղիների համար քվոտան:"
"2011-03-01",2011,"mar","1.2","Սոցիալական վճար",10838.9,NA
"2011-03-01",2011,"mar","1.3","Պետական տուրք",1761.6520000000005,NA
"2011-04-01",2011,"apr","1","Ընդամենը վճարված հարկային եկամուտներ և պետական տուրք",71567.191,NA
"2011-04-01",2011,"apr","1.1","Հարկային եկամուտներ",59777.511000000006,NA
"2011-04-01",2011,"apr","1.1.1","ԱԱՀ",27340.978,NA
"2011-04-01",2011,"apr","1.1.2","Շահութահարկ",15974.623,NA
"2011-04-01",2011,"apr","1.1.3","Եկամտահարկ",6466.258,NA
"2011-04-01",2011,"apr","1.1.4","Ակցիզային հարկ",1575.1,NA
"2011-04-01",2011,"apr","1.1.5","Ծխախոտի արտադրանքի համար հաստատագրված վճար",1722.5,NA
"2011-04-01",2011,"apr","1.1.6","""Հաստատագրված վճարի մասին"" ՀՀ օրենքով սահմանված գործունեության տեսակներից հաստատագրված վճար",1469.4029999999998,NA
"2011-04-01",2011,"apr","1.1.7","Մաքսատուրք",3043.3,NA
"2011-04-01",2011,"apr","1.1.8","Այլ հարկային եկամուտներ",2185.349,"Այլ հարկային եկամուտներում ներառված են` գույքահարկը և հողի հարկը (պետական բյուջե հաշվեգրվող), արտոնագրային վճարները, բնապահպանական և բնօգտագործման պարտադիր վճարները,  ճանապարհային վճարները,պարզեցված հարկը, հանրային ծառայությունների կարգավորման պարտադիր վճարները,  «Հարկերի մասին» ՀՀ օրենքով սահմանված տուգանքները (26,27, 28,30, 31 հոդվածների մասով), բենզինի և դիզելային վառելիքի հաստատագրված վճարը, ՀՀ տարածք ներմուծվող ԱՏԳ ԱԱ 2208 ապրանքային ծածկագրին դասվող օղիների համար քվոտան:"
"2011-04-01",2011,"apr","1.2","Սոցիալական վճար",10285.1,NA
"2011-04-01",2011,"apr","1.3","Պետական տուրք",1504.5800000000002,NA
"2011-05-01",2011,"may","1","Ընդամենը վճարված հարկային եկամուտներ և պետական տուրք",67463.681,NA
"2011-05-01",2011,"may","1.1","Հարկային եկամուտներ",55271.932,NA
"2011-05-01",2011,"may","1.1.1","ԱԱՀ",28115.808999999997,NA
"2011-05-01",2011,"may","1.1.2","Շահութահարկ",8559.196,NA
"2011-05-01",2011,"may","1.1.3","Եկամտահարկ",7042.860999999999,NA
"2011-05-01",2011,"may","1.1.4","Ակցիզային հարկ",2007.275,NA
"2011-05-01",2011,"may","1.1.5","Ծխախոտի արտադրանքի համար հաստատագրված վճար",1187.884,NA
"2011-05-01",2011,"may","1.1.6","""Հաստատագրված վճարի մասին"" ՀՀ օրենքով սահմանված գործունեության տեսակներից հաստատագրված վճար",1733.581,NA
"2011-05-01",2011,"may","1.1.7","Մաքսատուրք",3848.186,NA
"2011-05-01",2011,"may","1.1.8","Այլ հարկային եկամուտներ",2777.1400000000067,"Այլ հարկային եկամուտներում ներառված են` գույքահարկը և հողի հարկը (պետական բյուջե հաշվեգրվող), արտոնագրային վճարները, բնապահպանական և բնօգտագործման պարտադիր վճարները,  ճանապարհային վճարները,պարզեցված հարկը, հանրային ծառայությունների կարգավորման պարտադիր վճարները,  «Հարկերի մասին» ՀՀ օրենքով սահմանված տուգանքները (26,27, 28,30, 31 հոդվածների մասով), բենզինի և դիզելային վառելիքի հաստատագրված վճարը, ՀՀ տարածք ներմուծվող ԱՏԳ ԱԱ 2208 ապրանքային ծածկագրին դասվող օղիների համար քվոտան:"
"2011-05-01",2011,"may","1.2","Սոցիալական վճար",10468.811,NA
"2011-05-01",2011,"may","1.3","Պետական տուրք",1722.938,NA
"2011-06-01",2011,"jun","1","Ընդամենը վճարված հարկային եկամուտներ և պետական տուրք",66320.19860000002,NA
"2011-06-01",2011,"jun","1.1","Հարկային եկամուտներ",54054.58600000001,NA
"2011-06-01",2011,"jun","1.1.1","ԱԱՀ",25937.012,NA
"2011-06-01",2011,"jun","1.1.2","Շահութահարկ",11256.614,NA
"2011-06-01",2011,"jun","1.1.3","Եկամտահարկ",6311.873,NA
"2011-06-01",2011,"jun","1.1.4","Ակցիզային հարկ",1954.8,NA
"2011-06-01",2011,"jun","1.1.5","Ծխախոտի արտադրանքի համար հաստատագրված վճար",1672.625,NA
"2011-06-01",2011,"jun","1.1.6","""Հաստատագրված վճարի մասին"" ՀՀ օրենքով սահմանված գործունեության տեսակներից հաստատագրված վճար",1717.907,NA
"2011-06-01",2011,"jun","1.1.7","Մաքսատուրք",3440.868,NA
"2011-06-01",2011,"jun","1.1.8","Այլ հարկային եկամուտներ",1762.887,"Այլ հարկային եկամուտներում ներառված են` գույքահարկը և հողի հարկը (պետական բյուջե հաշվեգրվող), արտոնագրային վճարները, բնապահպանական և բնօգտագործման պարտադիր վճարները,  ճանապարհային վճարները,պարզեցված հարկը, հանրային ծառայությունների կարգավորման պարտադիր վճարները,  «Հարկերի մասին» ՀՀ օրենքով սահմանված տուգանքները (26,27, 28,30, 31 հոդվածների մասով), բենզինի և դիզելային վառելիքի հաստատագրված վճարը, ՀՀ տարածք ներմուծվող ԱՏԳ ԱԱ 2208 ապրանքային ծածկագրին դասվող օղիների համար քվոտան:"
"2011-06-01",2011,"jun","1.2","Սոցիալական վճար",10206.983,NA
"2011-06-01",2011,"jun","1.3","Պետական տուրք",2058.6296000000007,NA
"2011-07-01",2011,"jul","1","Ընդամենը վճարված հարկային եկամուտներ և պետական տուրք",69149.496,NA
"2011-07-01",2011,"jul","1.1","Հարկային եկամուտներ",56619.986,NA
"2011-07-01",2011,"jul","1.1.1","ԱԱՀ",30556.805,NA
"2011-07-01",2011,"jul","1.1.2","Շահութահարկ",6519.97,NA
"2011-07-01",2011,"jul","1.1.3","Եկամտահարկ",7674.359,NA
"2011-07-01",2011,"jul","1.1.4","Ակցիզային հարկ",1712.6,NA
"2011-07-01",2011,"jul","1.1.5","Ծխախոտի արտադրանքի համար հաստատագրված վճար",1548.698,NA
"2011-07-01",2011,"jul","1.1.6","""Հաստատագրված վճարի մասին"" ՀՀ օրենքով սահմանված գործունեության տեսակներից հաստատագրված վճար",1808.151,NA
"2011-07-01",2011,"jul","1.1.7","Մաքսատուրք",3701.533,NA
"2011-07-01",2011,"jul","1.1.8","Այլ հարկային եկամուտներ",3097.87,"Այլ հարկային եկամուտներում ներառված են` գույքահարկը և հողի հարկը (պետական բյուջե հաշվեգրվող), արտոնագրային վճարները, բնապահպանական և բնօգտագործման պարտադիր վճարները,  ճանապարհային վճարները,պարզեցված հարկը, հանրային ծառայությունների կարգավորման պարտադիր վճարները,  «Հարկերի մասին» ՀՀ օրենքով սահմանված տուգանքները (26,27, 28,30, 31 հոդվածների մասով), բենզինի և դիզելային վառելիքի հաստատագրված վճարը, ՀՀ տարածք ներմուծվող ԱՏԳ ԱԱ 2208 ապրանքային ծածկագրին դասվող օղիների համար քվոտան:"
"2011-07-01",2011,"jul","1.2","Սոցիալական վճար",10722.823,NA
"2011-07-01",2011,"jul","1.3","Պետական տուրք",1806.687,NA
"2011-08-01",2011,"aug","1","Ընդամենը վճարված հարկային եկամուտներ և պետական տուրք",66895.76400000001,NA
"2011-08-01",2011,"aug","1.1","Հարկային եկամուտներ",54188.391,NA
"2011-08-01",2011,"aug","1.1.1","ԱԱՀ",29948.948,NA
"2011-08-01",2011,"aug","1.1.2","Շահութահարկ",6671.914,NA
"2011-08-01",2011,"aug","1.1.3","Եկամտահարկ",7379.852,NA
"2011-08-01",2011,"aug","1.1.4","Ակցիզային հարկ",2181.737,NA
"2011-08-01",2011,"aug","1.1.5","Ծխախոտի արտադրանքի համար հաստատագրված վճար",1664.158,NA
"2011-08-01",2011,"aug","1.1.6","""Հաստատագրված վճարի մասին"" ՀՀ օրենքով սահմանված գործունեության տեսակներից հաստատագրված վճար",1905.591,NA
"2011-08-01",2011,"aug","1.1.7","Մաքսատուրք",2876.38,NA
"2011-08-01",2011,"aug","1.1.8","Այլ հարկային եկամուտներ",1559.811,"Այլ հարկային եկամուտներում ներառված են` գույքահարկը և հողի հարկը (պետական բյուջե հաշվեգրվող), արտոնագրային վճարները, բնապահպանական և բնօգտագործման պարտադիր վճարները,  ճանապարհային վճարները,պարզեցված հարկը, հանրային ծառայությունների կարգավորման պարտադիր վճարները,  «Հարկերի մասին» ՀՀ օրենքով սահմանված տուգանքները (26,27, 28,30, 31 հոդվածների մասով), բենզինի և դիզելային վառելիքի հաստատագրված վճարը, ՀՀ տարածք ներմուծվող ԱՏԳ ԱԱ 2208 ապրանքային ծածկագրին դասվող օղիների համար քվոտան:"
"2011-08-01",2011,"aug","1.2","Սոցիալական վճար",10380.127,NA
"2011-08-01",2011,"aug","1.3","Պետական տուրք",2327.246,NA
"2011-09-01",2011,"sep","1","Ընդամենը վճարված հարկային եկամուտներ և պետական տուրք",65445.196,NA
"2011-09-01",2011,"sep","1.1","Հարկային եկամուտներ",52603.757000000005,NA
"2011-09-01",2011,"sep","1.1.1","ԱԱՀ",27634.359,NA
"2011-09-01",2011,"sep","1.1.2","Շահութահարկ",7976.409,NA
"2011-09-01",2011,"sep","1.1.3","Եկամտահարկ",6540.1410000000005,NA
"2011-09-01",2011,"sep","1.1.4","Ակցիզային հարկ",2555.145,NA
"2011-09-01",2011,"sep","1.1.5","Ծխախոտի արտադրանքի համար հաստատագրված վճար",1789.883,NA
"2011-09-01",2011,"sep","1.1.6","""Հաստատագրված վճարի մասին"" ՀՀ օրենքով սահմանված գործունեության տեսակներից հաստատագրված վճար",1879.9559999999997,NA
"2011-09-01",2011,"sep","1.1.7","Մաքսատուրք",2581.089,NA
"2011-09-01",2011,"sep","1.1.8","Այլ հարկային եկամուտներ",1646.7750000000087,"Այլ հարկային եկամուտներում ներառված են` գույքահարկը և հողի հարկը (պետական բյուջե հաշվեգրվող), արտոնագրային վճարները, բնապահպանական և բնօգտագործման պարտադիր վճարները,  ճանապարհային վճարները,պարզեցված հարկը, հանրային ծառայությունների կարգավորման պարտադիր վճարները,  «Հարկերի մասին» ՀՀ օրենքով սահմանված տուգանքները (26,27, 28,30, 31 հոդվածների մասով), բենզինի և դիզելային վառելիքի հաստատագրված վճարը, ՀՀ տարածք ներմուծվող ԱՏԳ ԱԱ 2208 ապրանքային ծածկագրին դասվող օղիների համար քվոտան:"
"2011-09-01",2011,"sep","1.2","Սոցիալական վճար",10611.285999999998,NA
"2011-09-01",2011,"sep","1.3","Պետական տուրք",2230.1530000000007,NA
"2011-10-01",2011,"oct","1","Ընդամենը վճարված հարկային եկամուտներ և պետական տուրք",64715.67099999999,NA
"2011-10-01",2011,"oct","1.1","Հարկային եկամուտներ",53207.04399999999,NA
"2011-10-01",2011,"oct","1.1.1","ԱԱՀ",29845.248,NA
"2011-10-01",2011,"oct","1.1.2","Շահութահարկ",5916.526,NA
"2011-10-01",2011,"oct","1.1.3","Եկամտահարկ",7006.24,NA
"2011-10-01",2011,"oct","1.1.4","Ակցիզային հարկ",2467.769,NA
"2011-10-01",2011,"oct","1.1.5","Ծխախոտի արտադրանքի համար հաստատագրված վճար",1401.729,NA
"2011-10-01",2011,"oct","1.1.6","""Հաստատագրված վճարի մասին"" ՀՀ օրենքով սահմանված գործունեության տեսակներից հաստատագրված վճար",1691.789,NA
"2011-10-01",2011,"oct","1.1.7","Մաքսատուրք",2496.505,NA
"2011-10-01",2011,"oct","1.1.8","Այլ հարկային եկամուտներ",2381.2379999999976,"Այլ հարկային եկամուտներում ներառված են` գույքահարկը և հողի հարկը (պետական բյուջե հաշվեգրվող), արտոնագրային վճարները, բնապահպանական և բնօգտագործման պարտադիր վճարները,  ճանապարհային վճարները,պարզեցված հարկը, հանրային ծառայությունների կարգավորման պարտադիր վճարները,  «Հարկերի մասին» ՀՀ օրենքով սահմանված տուգանքները (26,27, 28,30, 31 հոդվածների մասով), բենզինի և դիզելային վառելիքի հաստատագրված վճարը, ՀՀ տարածք ներմուծվող ԱՏԳ ԱԱ 2208 ապրանքային ծածկագրին դասվող օղիների համար քվոտան:"
"2011-10-01",2011,"oct","1.2","Սոցիալական վճար",9695.368,NA
"2011-10-01",2011,"oct","1.3","Պետական տուրք",1813.258999999999,NA
"2011-11-01",2011,"nov","1","Ընդամենը վճարված հարկային եկամուտներ և պետական տուրք",65916.785,NA
"2011-11-01",2011,"nov","1.1","Հարկային եկամուտներ",53541.422000000006,NA
"2011-11-01",2011,"nov","1.1.1","ԱԱՀ",28523.771999999997,NA
"2011-11-01",2011,"nov","1.1.2","Շահութահարկ",7292.745,NA
"2011-11-01",2011,"nov","1.1.3","Եկամտահարկ",7105.128000000001,NA
"2011-11-01",2011,"nov","1.1.4","Ակցիզային հարկ",1943.468,NA
"2011-11-01",2011,"nov","1.1.5","Ծխախոտի արտադրանքի համար հաստատագրված վճար",1911.291,NA
"2011-11-01",2011,"nov","1.1.6","""Հաստատագրված վճարի մասին"" ՀՀ օրենքով սահմանված գործունեության տեսակներից հաստատագրված վճար",1814.2660000000008,NA
"2011-11-01",2011,"nov","1.1.7","Մաքսատուրք",3161.748,NA
"2011-11-01",2011,"nov","1.1.8","Այլ հարկային եկամուտներ",1789.004,"Այլ հարկային եկամուտներում ներառված են` գույքահարկը և հողի հարկը (պետական բյուջե հաշվեգրվող), արտոնագրային վճարները, բնապահպանական և բնօգտագործման պարտադիր վճարները,  ճանապարհային վճարները,պարզեցված հարկը, հանրային ծառայությունների կարգավորման պարտադիր վճարները,  «Հարկերի մասին» ՀՀ օրենքով սահմանված տուգանքները (26,27, 28,30, 31 հոդվածների մասով), բենզինի և դիզելային վառելիքի հաստատագրված վճարը, ՀՀ տարածք ներմուծվող ԱՏԳ ԱԱ 2208 ապրանքային ծածկագրին դասվող օղիների համար քվոտան:"
"2011-11-01",2011,"nov","1.2","Սոցիալական վճար",9954.742,NA
"2011-11-01",2011,"nov","1.3","Պետական տուրք",2420.621,NA
"2011-12-01",2011,"dec","1","Ընդամենը վճարված հարկային եկամուտներ և պետական տուրք",68827.799,NA
"2011-12-01",2011,"dec","1.1","Հարկային եկամուտներ",55573.817,NA
"2011-12-01",2011,"dec","1.1.1","ԱԱՀ",28736.789,NA
"2011-12-01",2011,"dec","1.1.2","Շահութահարկ",6883.894,NA
"2011-12-01",2011,"dec","1.1.3","Եկամտահարկ",8056.194,NA
"2011-12-01",2011,"dec","1.1.4","Ակցիզային հարկ",1743.2909999999997,NA
"2011-12-01",2011,"dec","1.1.5","Ծխախոտի արտադրանքի համար հաստատագրված վճար",3850.748,NA
"2011-12-01",2011,"dec","1.1.6","""Հաստատագրված վճարի մասին"" ՀՀ օրենքով սահմանված գործունեության տեսակներից հաստատագրված վճար",1511.628,NA
"2011-12-01",2011,"dec","1.1.7","Մաքսատուրք",2926.699,NA
"2011-12-01",2011,"dec","1.1.8","Այլ հարկային եկամուտներ",1864.5740000000003,"Այլ հարկային եկամուտներում ներառված են` գույքահարկը և հողի հարկը (պետական բյուջե հաշվեգրվող), արտոնագրային վճարները, բնապահպանական և բնօգտագործման պարտադիր վճարները,  ճանապարհային վճարները,պարզեցված հարկը, հանրային ծառայությունների կարգավորման պարտադիր վճարները,  «Հարկերի մասին» ՀՀ օրենքով սահմանված տուգանքները (26,27, 28,30, 31 հոդվածների մասով), բենզինի և դիզելային վառելիքի հաստատագրված վճարը, ՀՀ տարածք ներմուծվող ԱՏԳ ԱԱ 2208 ապրանքային ծածկագրին դասվող օղիների համար քվոտան:"
"2011-12-01",2011,"dec","1.2","Սոցիալական վճար",11219.724,NA
"2011-12-01",2011,"dec","1.3","Պետական տուրք",2034.2579999999991,NA
"2012-01-01",2012,"jan","1","Ընդամենը վճարված հարկային եկամուտներ և պետական տուրք",55405.228,NA
"2012-01-01",2012,"jan","1.1","Հարկային եկամուտներ",44516,NA
"2012-01-01",2012,"jan","1.1.1","ԱԱՀ",23786.878999999997,NA
"2012-01-01",2012,"jan","1.1.2","Շահութահարկ",4334.705,NA
"2012-01-01",2012,"jan","1.1.3","Եկամտահարկ",6105.677000000001,NA
"2012-01-01",2012,"jan","1.1.4","Ակցիզային հարկ",1743.608,NA
"2012-01-01",2012,"jan","1.1.5","Ծխախոտի արտադրանքի համար հաստատագրված վճար",3769.552,NA
"2012-01-01",2012,"jan","1.1.6","""Հաստատագրված վճարի մասին"" ՀՀ օրենքով սահմանված գործունեության տեսակներից հաստատագրված վճար",1628.4719999999993,NA
"2012-01-01",2012,"jan","1.1.7","Մաքսատուրք",1213.808,NA
"2012-01-01",2012,"jan","1.1.8","Այլ հարկային եկամուտներ",1933.298999999999,"Այլ հարկային եկամուտներում ներառված են` գույքահարկը և հողի հարկը (պետական բյուջե հաշվեգրվող), արտոնագրային վճարները, բնապահպանական և բնօգտագործման պարտադիր վճարները,  ճանապարհային վճարները,պարզեցված հարկը, հանրային ծառայությունների կարգավորման պարտադիր վճարները,  «Հարկերի մասին» ՀՀ օրենքով սահմանված տուգանքները (26,27, 28,30, 31 հոդվածների մասով), բենզինի և դիզելային վառելիքի հաստատագրված վճարը, ՀՀ տարածք ներմուծվող ԱՏԳ ԱԱ 2208 ապրանքային ծածկագրին դասվող օղիների համար քվոտան:"
"2012-01-01",2012,"jan","1.2","Սոցիալական վճար",9240.681,NA
"2012-01-01",2012,"jan","1.3","Պետական տուրք",1648.547,NA
"2012-02-01",2012,"feb","1","Ընդամենը վճարված հարկային եկամուտներ և պետական տուրք",57557.609,NA
"2012-02-01",2012,"feb","1.1","Հարկային եկամուտներ",45108.057,NA
"2012-02-01",2012,"feb","1.1.1","ԱԱՀ",20571.558,NA
"2012-02-01",2012,"feb","1.1.2","Շահութահարկ",8079.992,NA
"2012-02-01",2012,"feb","1.1.3","Եկամտահարկ",7141.285000000002,NA
"2012-02-01",2012,"feb","1.1.4","Ակցիզային հարկ",2046.665,NA
"2012-02-01",2012,"feb","1.1.5","Ծխախոտի արտադրանքի համար հաստատագրված վճար",989.015,NA
"2012-02-01",2012,"feb","1.1.6","""Հաստատագրված վճարի մասին"" ՀՀ օրենքով սահմանված գործունեության տեսակներից հաստատագրված վճար",1588.825,NA
"2012-02-01",2012,"feb","1.1.7","Մաքսատուրք",2166.449,NA
"2012-02-01",2012,"feb","1.1.8","Այլ հարկային եկամուտներ",2524.2679999999964,"Այլ հարկային եկամուտներում ներառված են` գույքահարկը և հողի հարկը (պետական բյուջե հաշվեգրվող), արտոնագրային վճարները, բնապահպանական և բնօգտագործման պարտադիր վճարները,  ճանապարհային վճարները,պարզեցված հարկը, հանրային ծառայությունների կարգավորման պարտադիր վճարները,  «Հարկերի մասին» ՀՀ օրենքով սահմանված տուգանքները (26,27, 28,30, 31 հոդվածների մասով), բենզինի և դիզելային վառելիքի հաստատագրված վճարը, ՀՀ տարածք ներմուծվող ԱՏԳ ԱԱ 2208 ապրանքային ծածկագրին դասվող օղիների համար քվոտան:"
"2012-02-01",2012,"feb","1.2","Սոցիալական վճար",10894.671,NA
"2012-02-01",2012,"feb","1.3","Պետական տուրք",1554.881,NA
"2012-03-01",2012,"mar","1","Ընդամենը վճարված հարկային եկամուտներ և պետական տուրք",64189.31268,NA
"2012-03-01",2012,"mar","1.1","Հարկային եկամուտներ",52537.76497,NA
"2012-03-01",2012,"mar","1.1.1","ԱԱՀ",24697.94683,NA
"2012-03-01",2012,"mar","1.1.2","Շահութահարկ",10421.37148,NA
"2012-03-01",2012,"mar","1.1.3","Եկամտահարկ",6822.93572,NA
"2012-03-01",2012,"mar","1.1.4","Ակցիզային հարկ",2168.96388,NA
"2012-03-01",2012,"mar","1.1.5","Ծխախոտի արտադրանքի համար հաստատագրված վճար",1041.38935,NA
"2012-03-01",2012,"mar","1.1.6","""Հաստատագրված վճարի մասին"" ՀՀ օրենքով սահմանված գործունեության տեսակներից հաստատագրված վճար",1503.08766,NA
"2012-03-01",2012,"mar","1.1.7","Մաքսատուրք",2806.90724,NA
"2012-03-01",2012,"mar","1.1.8","Այլ հարկային եկամուտներ",3075.1628100000016,"Այլ հարկային եկամուտներում ներառված են` գույքահարկը և հողի հարկը (պետական բյուջե հաշվեգրվող), արտոնագրային վճարները, բնապահպանական և բնօգտագործման պարտադիր վճարները,  ճանապարհային վճարները,պարզեցված հարկը, հանրային ծառայությունների կարգավորման պարտադիր վճարները,  «Հարկերի մասին» ՀՀ օրենքով սահմանված տուգանքները (26,27, 28,30, 31 հոդվածների մասով), բենզինի և դիզելային վառելիքի հաստատագրված վճարը, ՀՀ տարածք ներմուծվող ԱՏԳ ԱԱ 2208 ապրանքային ծածկագրին դասվող օղիների համար քվոտան:"
"2012-03-01",2012,"mar","1.2","Սոցիալական վճար",9908.94434,NA
"2012-03-01",2012,"mar","1.3","Պետական տուրք",1742.60337,NA
"2012-04-01",2012,"apr","1","Ընդամենը վճարված հարկային եկամուտներ և պետական տուրք",71724.35608,NA
"2012-04-01",2012,"apr","1.1","Հարկային եկամուտներ",60084.71024,NA
"2012-04-01",2012,"apr","1.1.1","ԱԱՀ",25923.32445,NA
"2012-04-01",2012,"apr","1.1.2","Շահութահարկ",18496.624570000004,NA
"2012-04-01",2012,"apr","1.1.3","Եկամտահարկ",6874.02246,NA
"2012-04-01",2012,"apr","1.1.4","Ակցիզային հարկ",1885.06959,NA
"2012-04-01",2012,"apr","1.1.5","Ծխախոտի արտադրանքի համար հաստատագրված վճար",1247.83085,NA
"2012-04-01",2012,"apr","1.1.6","""Հաստատագրված վճարի մասին"" ՀՀ օրենքով սահմանված գործունեության տեսակներից հաստատագրված վճար",1173.4292400000004,NA
"2012-04-01",2012,"apr","1.1.7","Մաքսատուրք",2336.58428,NA
"2012-04-01",2012,"apr","1.1.8","Այլ հարկային եկամուտներ",2147.824800000002,"Այլ հարկային եկամուտներում ներառված են` գույքահարկը և հողի հարկը (պետական բյուջե հաշվեգրվող), արտոնագրային վճարները, բնապահպանական և բնօգտագործման պարտադիր վճարները,  ճանապարհային վճարները,պարզեցված հարկը, հանրային ծառայությունների կարգավորման պարտադիր վճարները,  «Հարկերի մասին» ՀՀ օրենքով սահմանված տուգանքները (26,27, 28,30, 31 հոդվածների մասով), բենզինի և դիզելային վառելիքի հաստատագրված վճարը, ՀՀ տարածք ներմուծվող ԱՏԳ ԱԱ 2208 ապրանքային ծածկագրին դասվող օղիների համար քվոտան:"
"2012-04-01",2012,"apr","1.2","Սոցիալական վճար",9925.98778,NA
"2012-04-01",2012,"apr","1.3","Պետական տուրք",1713.6580600000004,NA
"2012-05-01",2012,"may","1","Ընդամենը վճարված հարկային եկամուտներ և պետական տուրք",74110.64778,NA
"2012-05-01",2012,"may","1.1","Հարկային եկամուտներ",61384.48312,NA
"2012-05-01",2012,"may","1.1.1","ԱԱՀ",31533.381930000003,NA
"2012-05-01",2012,"may","1.1.2","Շահութահարկ",9713.04685,NA
"2012-05-01",2012,"may","1.1.3","Եկամտահարկ",7841.628499999999,NA
