"indicator_arm","ind1_arm","ind2_arm","indicator_eng","ind1_eng","ind2_eng","year","wages","wages_corrected","cpi_yoy","adj_price","wages_real"
"% - ով նախորդ տարվա նկատմամբ",NA,NA,"to the previous year, %",NA,NA,2018,104,104,1.0179122090263264,1.2176826114379562,126.63899158954744
"% - ով նախորդ տարվա նկատմամբ",NA,NA,"to the previous year, %",NA,NA,2019,105.8,105.8,1.0072816647657017,1.2088799528791134,127.8994990146102
"% - ով նախորդ տարվա նկատմամբ",NA,NA,"to the previous year, %",NA,NA,2020,103.9,103.9,1.0366382465663597,1.1661541110250053,121.16341213549806
"% - ով նախորդ տարվա նկատմամբ",NA,NA,"to the previous year, %",NA,NA,2021,107.6,107.6,1.0767545346275733,1.0830268863723462,116.53369297366444
"% - ով նախորդ տարվա նկատմամբ",NA,NA,"to the previous year, %",NA,NA,2022,115.5,115.5,1.0830268863723458,1,115.5
"ըստ արտարժութի տեսակի - ԱՄՆ դոլար","ըստ արտարժութի տեսակի","ԱՄՆ դոլար","Currency Rates - USD","Currency Rates","USD",2008,286,331.81467776749923,1.0519259498843334,1.74660496904509,579.5491649908095
"ըստ արտարժութի տեսակի - ԱՄՆ դոլար","ըստ արտարժութի տեսակի","ԱՄՆ դոլար","Currency Rates - USD","Currency Rates","USD",2009,264,306.29047178538394,1.0650141146986458,1.6399829306856706,502.31114555969066
"ըստ արտարժութի տեսակի - ԱՄՆ դոլար","ըստ արտարժութի տեսակի","ԱՄՆ դոլար","Currency Rates - USD","Currency Rates","USD",2010,275,319.0525747764416,1.0942618224536644,1.498711640152387,478.16780763804286
"ըստ արտարժութի տեսակի - ԱՄՆ դոլար","ըստ արտարժութի տեսակի","ԱՄՆ դոլար","Currency Rates - USD","Currency Rates","USD",2011,290,336.4554424915202,1.0467781008092338,1.4317376710439165,481.7159316428595
"ըստ արտարժութի տեսակի - ԱՄՆ դոլար","ըստ արտարժութի տեսակի","ԱՄՆ դոլար","Currency Rates - USD","Currency Rates","USD",2012,282,327.17391304347825,1.0321982068785194,1.3870763013371707,453.8151811983569
"ըստ արտարժութի տեսակի - ԱՄՆ դոլար","ըստ արտարժութի տեսակի","ԱՄՆ դոլար","Currency Rates - USD","Currency Rates","USD",2013,358,334.6521739130435,1.055556132712271,1.3140715669692073,439.75690656356477
"ըստ արտարժութի տեսակի - ԱՄՆ դոլար","ըստ արտարժութի տեսակի","ԱՄՆ դոլար","Currency Rates - USD","Currency Rates","USD",2014,381,356.1521739130435,1.04579786714902,1.25652538434749,447.5142472122811
"ըստ արտարժութի տեսակի - ԱՄՆ դոլար","ըստ արտարժութի տեսակի","ԱՄՆ դոլար","Currency Rates - USD","Currency Rates","USD",2015,359,335.5869565217391,0.9987078446073119,1.2581511110905024,422.2191022153062
"ըստ արտարժութի տեսակի - ԱՄՆ դոլար","ըստ արտարժութի տեսակի","ԱՄՆ դոլար","Currency Rates - USD","Currency Rates","USD",2016,363,339.32608695652175,0.9892189082336652,1.2718631848000548,431.57635764226205
"ըստ արտարժութի տեսակի - ԱՄՆ դոլար","ըստ արտարժութի տեսակի","ԱՄՆ դոլար","Currency Rates - USD","Currency Rates","USD",2017,368,344,1.02611484039391,1.239493996901756,426.38593493420404
"ըստ արտարժութի տեսակի - ԱՄՆ դոլար","ըստ արտարժութի տեսակի","ԱՄՆ դոլար","Currency Rates - USD","Currency Rates","USD",2018,358,358,1.0179122090263264,1.2176826114379562,435.9303748947883
"ըստ արտարժութի տեսակի - ԱՄՆ դոլար","ըստ արտարժութի տեսակի","ԱՄՆ դոլար","Currency Rates - USD","Currency Rates","USD",2019,380,380,1.0072816647657017,1.2088799528791134,459.3743820940631
"ըստ արտարժութի տեսակի - ԱՄՆ դոլար","ըստ արտարժութի տեսակի","ԱՄՆ դոլար","Currency Rates - USD","Currency Rates","USD",2020,388,388,1.0366382465663597,1.1661541110250053,452.4677950777021
"ըստ արտարժութի տեսակի - ԱՄՆ դոլար","ըստ արտարժութի տեսակի","ԱՄՆ դոլար","Currency Rates - USD","Currency Rates","USD",2021,405,405,1.0767545346275733,1.0830268863723462,438.6258889808002
"ըստ արտարժութի տեսակի - ԱՄՆ դոլար","ըստ արտարժութի տեսակի","ԱՄՆ դոլար","Currency Rates - USD","Currency Rates","USD",2022,541,541,1.0830268863723458,1,541
"ըստ արտարժութի տեսակի - Եվրո","ըստ արտարժութի տեսակի","Եվրո","Currency Rates - EUR","Currency Rates","EUR",2008,194,225.51542146398856,1.0519259498843334,1.74660496904509,393.8863557253002
"ըստ արտարժութի տեսակի - Եվրո","ըստ արտարժութի տեսակի","Եվրո","Currency Rates - EUR","Currency Rates","EUR",2009,189,219.7031683334734,1.0650141146986458,1.6399829306856706,360.3094458844569
"ըստ արտարժութի տեսակի - Եվրո","ըստ արտարժութի տեսակի","Եվրո","Currency Rates - EUR","Currency Rates","EUR",2010,207,240.62727960332802,1.0942618224536644,1.498711640152387,360.6309048797108
"ըստ արտարժութի տեսակի - Եվրո","ըստ արտարժութի տեսակի","Եվրո","Currency Rates - EUR","Currency Rates","EUR",2011,208,241.78973022943103,1.0467781008092338,1.4317376710439165,346.17946524102246
"ըստ արտարժութի տեսակի - Եվրո","ըստ արտարժութի տեսակի","Եվրո","Currency Rates - EUR","Currency Rates","EUR",2012,219,254.57668711656441,1.0321982068785194,1.3870763013371707,353.11728957231435
"ըստ արտարժութի տեսակի - Եվրո","ըստ արտարժութի տեսակի","Եվրո","Currency Rates - EUR","Currency Rates","EUR",2013,269,250.84662576687114,1.055556132712271,1.3140715669692073,329.6304185904107
"ըստ արտարժութի տեսակի - Եվրո","ըստ արտարժութի տեսակի","Եվրո","Currency Rates - EUR","Currency Rates","EUR",2014,287,267.6319018404908,1.04579786714902,1.25652538434749,336.2862783237724
"ըստ արտարժութի տեսակի - Եվրո","ըստ արտարժութի տեսակի","Եվրո","Currency Rates - EUR","Currency Rates","EUR",2015,323,301.20245398773005,0.9987078446073119,1.2581511110905024,378.9582021478485
"ըստ արտարժութի տեսակի - Եվրո","ըստ արտարժութի տեսակի","Եվրո","Currency Rates - EUR","Currency Rates","EUR",2016,328,305.8650306748466,0.9892189082336652,1.2718631848000548,389.0184720330768
"ըստ արտարժութի տեսակի - Եվրո","ըստ արտարժութի տեսակի","Եվրո","Currency Rates - EUR","Currency Rates","EUR",2017,326,304,1.02611484039391,1.239493996901756,376.8061750581338
"ըստ արտարժութի տեսակի - Եվրո","ըստ արտարժութի տեսակի","Եվրո","Currency Rates - EUR","Currency Rates","EUR",2018,303,303,1.0179122090263264,1.2176826114379562,368.95783126570075
"ըստ արտարժութի տեսակի - Եվրո","ըստ արտարժութի տեսակի","Եվրո","Currency Rates - EUR","Currency Rates","EUR",2019,340,340,1.0072816647657017,1.2088799528791134,411.0191839788986
"ըստ արտարժութի տեսակի - Եվրո","ըստ արտարժութի տեսակի","Եվրո","Currency Rates - EUR","Currency Rates","EUR",2020,340,340,1.0366382465663597,1.1661541110250053,396.4923977485018
"ըստ արտարժութի տեսակի - Եվրո","ըստ արտարժութի տեսակի","Եվրո","Currency Rates - EUR","Currency Rates","EUR",2021,342,342,1.0767545346275733,1.0830268863723462,370.39519513934243
"ըստ արտարժութի տեսակի - Եվրո","ըստ արտարժութի տեսակի","Եվրո","Currency Rates - EUR","Currency Rates","EUR",2022,511,511,1.0830268863723458,1,511
"ըստ արտարժութի տեսակի - ՌՌ","ըստ արտարժութի տեսակի","ՌՌ","Currency Rates - RR","Currency Rates","RR",2008,7077,8236.65237037189,1.0519259498843334,1.74660496904509,14386.177958388562
"ըստ արտարժութի տեսակի - ՌՌ","ըստ արտարժութի տեսակի","ՌՌ","Currency Rates - RR","Currency Rates","RR",2009,8349,9717.08501345696,1.0650141146986458,1.6399829306856706,15935.853558090952
"ըստ արտարժութի տեսակի - ՌՌ","ըստ արտարժութի տեսակի","ՌՌ","Currency Rates - RR","Currency Rates","RR",2010,8332,9697.299357063528,1.0942618224536644,1.498711640152387,14533.455424473368
"ըստ արտարժութի տեսակի - ՌՌ","ըստ արտարժութի տեսակի","ՌՌ","Currency Rates - RR","Currency Rates","RR",2011,8491,9882.353437449161,1.0467781008092338,1.4317376710439165,14148.937694966304
"ըստ արտարժութի տեսակի - ՌՌ","ըստ արտարժութի տեսակի","ՌՌ","Currency Rates - RR","Currency Rates","RR",2012,8745,10177.97442120986,1.0321982068785194,1.3870763013371707,14117.627115276104
"ըստ արտարժութի տեսակի - ՌՌ","ըստ արտարժութի տեսակի","ՌՌ","Currency Rates - RR","Currency Rates","RR",2013,11376,10645.88424197162,1.055556132712271,1.3140715669692073,13989.45378762044
"ըստ արտարժութի տեսակի - ՌՌ","ըստ արտարժութի տեսակի","ՌՌ","Currency Rates - RR","Currency Rates","RR",2014,14443,13516.043082524273,1.04579786714902,1.25652538434749,16983.251229126046
"ըստ արտարժութի տեսակի - ՌՌ","ըստ արտարժութի տեսակի","ՌՌ","Currency Rates - RR","Currency Rates","RR",2015,21751,20355.013022778192,0.9987078446073119,1.2581511110905024,25609.682250870028
"ըստ արտարժութի տեսակի - ՌՌ","ըստ արտարժութի տեսակի","ՌՌ","Currency Rates - RR","Currency Rates","RR",2016,24262,22704.856142643763,0.9892189082336652,1.2718631848000548,28877.470644009984
"ըստ արտարժութի տեսակի - ՌՌ","ըստ արտարժութի տեսակի","ՌՌ","Currency Rates - RR","Currency Rates","RR",2017,21424,20049,1.02611484039391,1.239493996901756,24850.615143883308
"ըստ արտարժութի տեսակի - ՌՌ","ըստ արտարժութի տեսակի","ՌՌ","Currency Rates - RR","Currency Rates","RR",2018,22345,22345,1.0179122090263264,1.2176826114379562,27209.11795258113
"ըստ արտարժութի տեսակի - ՌՌ","ըստ արտարժութի տեսակի","ՌՌ","Currency Rates - RR","Currency Rates","RR",2019,24580,24580,1.0072816647657017,1.2088799528791134,29714.26924176861
"ըստ արտարժութի տեսակի - ՌՌ","ըստ արտարժութի տեսակի","ՌՌ","Currency Rates - RR","Currency Rates","RR",2020,27941,27941,1.0366382465663597,1.1661541110250053,32583.512016149674
"ըստ արտարժութի տեսակի - ՌՌ","ըստ արտարժութի տեսակի","ՌՌ","Currency Rates - RR","Currency Rates","RR",2021,29832,29832,1.0767545346275733,1.0830268863723462,32308.85807425983
"ըստ արտարժութի տեսակի - ՌՌ","ըստ արտարժութի տեսակի","ՌՌ","Currency Rates - RR","Currency Rates","RR",2022,36242,36242,1.0830268863723458,1,36242
"ըստ սեռի - տղամարդ","ըստ սեռի","տղամարդ","Sex - Male, AMD","Sex","Male, AMD",2008,116787,141440.69693204618,1.0519259498843334,1.74660496904509,247041.02408671248
"ըստ սեռի - տղամարդ","ըստ սեռի","տղամարդ","Sex - Male, AMD","Sex","Male, AMD",2009,126765,153525.04941980558,1.0650141146986458,1.6399829306856706,251778.46048115517
"ըստ սեռի - տղամարդ","ըստ սեռի","տղամարդ","Sex - Male, AMD","Sex","Male, AMD",2010,124757,151093.16128636996,1.0942618224536644,1.498711640152387,226445.07956730467
"ըստ սեռի - տղամարդ","ըստ սեռի","տղամարդ","Sex - Male, AMD","Sex","Male, AMD",2011,131294,159010.1198163843,1.0467781008092338,1.4317376710439165,227660.77861832417
"ըստ սեռի - տղամարդ","ըստ սեռի","տղամարդ","Sex - Male, AMD","Sex","Male, AMD",2012,137808,166899.2230540336,1.0321982068785194,1.3870763013371707,231501.95700983636
"ըստ սեռի - տղամարդ","ըստ սեռի","տղամարդ","Sex - Male, AMD","Sex","Male, AMD",2013,174283,172072.77019176268,1.055556132712271,1.3140715669692073,226115.9347586219
"ըստ սեռի - տղամարդ","ըստ սեռի","տղամարդ","Sex - Male, AMD","Sex","Male, AMD",2014,188737,186343.46681938408,1.04579786714902,1.25652538434749,234145.2962658703
"ըստ սեռի - տղամարդ","ըստ սեռի","տղամարդ","Sex - Male, AMD","Sex","Male, AMD",2015,203657,201074.25370772718,0.9987078446073119,1.2581511110905024,252981.79571407053
"ըստ սեռի - տղամարդ","ըստ սեռի","տղամարդ","Sex - Male, AMD","Sex","Male, AMD",2016,209271,206617.0578358209,0.9892189082336652,1.2718631848000548,262788.6292130843
"ըստ սեռի - տղամարդ","ըստ սեռի","տղամարդ","Sex - Male, AMD","Sex","Male, AMD",2017,211720,209035,1.02611484039391,1.239493996901756,259097.62764235857
"ըստ սեռի - տղամարդ","ըստ սեռի","տղամարդ","Sex - Male, AMD","Sex","Male, AMD",2018,210783,210783,1.0179122090263264,1.2176826114379562,256666.79388672672
"ըստ սեռի - տղամարդ","ըստ սեռի","տղամարդ","Sex - Male, AMD","Sex","Male, AMD",2019,222509.9,222509.9,1.0072816647657017,1.2088799528791134,268987.75742713624
"ըստ սեռի - տղամարդ","ըստ սեռի","տղամարդ","Sex - Male, AMD","Sex","Male, AMD",2020,231520,231520,1.0366382465663597,1.1661541110250053,269987.99978450924
"ըստ սեռի - տղամարդ","ըստ սեռի","տղամարդ","Sex - Male, AMD","Sex","Male, AMD",2021,250186,250186,1.0767545346275733,1.0830268863723462,270958.16459395183
"ըստ սեռի - տղամարդ","ըստ սեռի","տղամարդ","Sex - Male, AMD","Sex","Male, AMD",2022,295778,295778,1.0830268863723458,1,295778
"ըստ սեռի - կին","ըստ սեռի","կին","Sex - Female, AMD","Sex","Female, AMD",2008,68010,68131.37918353779,1.0519259498843334,1.74660496904509,118998.60542986232
"ըստ սեռի - կին","ըստ սեռի","կին","Sex - Female, AMD","Sex","Female, AMD",2009,77127,77264.6505262273,1.0650141146986458,1.6399829306856706,126712.70800840638
"ըստ սեռի - կին","ըստ սեռի","կին","Sex - Female, AMD","Sex","Female, AMD",2010,79919,80061.63347991701,1.0942618224536644,1.498711640152387,119989.30202596569
"ըստ սեռի - կին","ըստ սեռի","կին","Sex - Female, AMD","Sex","Female, AMD",2011,84992,85143.68739254879,1.0467781008092338,1.4317376710439165,121903.42469149908
"ըստ սեռի - կին","ըստ սեռի","կին","Sex - Female, AMD","Sex","Female, AMD",2012,88704,88862.3122937294,1.0321982068785194,1.3870763013371707,123258.80746465476
"ըստ սեռի - կին","ըստ սեռի","կին","Sex - Female, AMD","Sex","Female, AMD",2013,114328,94282.86798679868,1.055556132712271,1.3140715669692073,123894.43607376346
"ըստ սեռի - կին","ըստ սեռի","կին","Sex - Female, AMD","Sex","Female, AMD",2014,124441,102622.75536303631,1.04579786714902,1.25652538434749,128948.09712533763
"ըստ սեռի - կին","ըստ սեռի","կին","Sex - Female, AMD","Sex","Female, AMD",2015,135492,111736.18316831684,0.9987078446073119,1.2581511110905024,140581.00300222973
"ըստ սեռի - կին","ըստ սեռի","կին","Sex - Female, AMD","Sex","Female, AMD",2016,138901,114547.48308580859,0.9892189082336652,1.2718631848000548,145688.72664834693
"ըստ սեռի - կին","ըստ սեռի","կին","Sex - Female, AMD","Sex","Female, AMD",2017,143016,117941,1.02611484039391,1.239493996901756,146187.16148859
"ըստ սեռի - կին","ըստ սեռի","կին","Sex - Female, AMD","Sex","Female, AMD",2018,136363,136363,1.0179122090263264,1.2176826114379562,166046.85394351403
"ըստ սեռի - կին","ըստ սեռի","կին","Sex - Female, AMD","Sex","Female, AMD",2019,145197.9,145197.9,1.0072816647657017,1.2088799528791134,175526.83051014622
"ըստ սեռի - կին","ըստ սեռի","կին","Sex - Female, AMD","Sex","Female, AMD",2020,150306,150306,1.0366382465663597,1.1661541110250053,175279.95981172446
"ըստ սեռի - կին","ըստ սեռի","կին","Sex - Female, AMD","Sex","Female, AMD",2021,161421,161421,1.0767545346275733,1.0830268863723462,174823.2830251105
"ըստ սեռի - կին","ըստ սեռի","կին","Sex - Female, AMD","Sex","Female, AMD",2022,179882,179882,1.0830268863723458,1,179882
"ըստ գյուղատնտեսական ոլորտի և սեռի - ընդամենը","ըստ գյուղատնտեսական ոլորտի և սեռի","ընդամենը","Agriculture and Non - Agriculture Spheres and by Sex - Agricultural sphere","Agriculture and Non - Agriculture Spheres and by Sex","Agricultural sphere",2008,68459,81930.63377285164,1.0519259498843334,1.74660496904509,143100.45206467615
"ըստ գյուղատնտեսական ոլորտի և սեռի - ընդամենը","ըստ գյուղատնտեսական ոլորտի և սեռի","ընդամենը","Agriculture and Non - Agriculture Spheres and by Sex - Agricultural sphere","Agriculture and Non - Agriculture Spheres and by Sex","Agricultural sphere",2009,72867,87206.05751072,1.0650141146986458,1.6399829306856706,143016.4457699737
"ըստ գյուղատնտեսական ոլորտի և սեռի - ընդամենը","ըստ գյուղատնտեսական ոլորտի և սեռի","ընդամենը","Agriculture and Non - Agriculture Spheres and by Sex - Agricultural sphere","Agriculture and Non - Agriculture Spheres and by Sex","Agricultural sphere",2010,72853,87189.30253514601,1.0942618224536644,1.498711640152387,130671.62260619135
"ըստ գյուղատնտեսական ոլորտի և սեռի - ընդամենը","ըստ գյուղատնտեսական ոլորտի և սեռի","ընդամենը","Agriculture and Non - Agriculture Spheres and by Sex - Agricultural sphere","Agriculture and Non - Agriculture Spheres and by Sex","Agricultural sphere",2011,70099,83893.35948294785,1.0467781008092338,1.4317376710439165,120113.28312216583
"ըստ գյուղատնտեսական ոլորտի և սեռի - ընդամենը","ըստ գյուղատնտեսական ոլորտի և սեռի","ընդամենը","Agriculture and Non - Agriculture Spheres and by Sex - Agricultural sphere","Agriculture and Non - Agriculture Spheres and by Sex","Agricultural sphere",2012,83636,100094.22407902862,1.0321982068785194,1.3870763013371707,138838.326120753
"ըստ գյուղատնտեսական ոլորտի և սեռի - ընդամենը","ըստ գյուղատնտեսական ոլորտի և սեռի","ընդամենը","Agriculture and Non - Agriculture Spheres and by Sex - Agricultural sphere","Agriculture and Non - Agriculture Spheres and by Sex","Agricultural sphere",2013,92037,91321.00934348631,1.055556132712271,1.3140715669692073,120002.34184520468
"ըստ գյուղատնտեսական ոլորտի և սեռի - ընդամենը","ըստ գյուղատնտեսական ոլորտի և սեռի","ընդամենը","Agriculture and Non - Agriculture Spheres and by Sex - Agricultural sphere","Agriculture and Non - Agriculture Spheres and by Sex","Agricultural sphere",2014,99897,99119.86342868903,1.04579786714902,1.25652538434749,124546.6244912042
