"date","year","month","month_name","country","direction","type","K_USD"
"2013-01-31","2013",1,"January","Denmark","Outflow","total",29.2
"2013-01-31","2013",1,"January","Egypt","Outflow","total",60.14
"2013-01-31","2013",1,"January","Turkey","Outflow","total",1622.24
"2013-01-31","2013",1,"January","Israel","Outflow","total",63.04
"2013-01-31","2013",1,"January","Spain","Outflow","total",674.75
"2013-01-31","2013",1,"January","Ireland","Outflow","total",7.65
"2013-01-31","2013",1,"January","Italy","Outflow","total",1349.73
"2013-01-31","2013",1,"January","Iran","Outflow","total",25
"2013-01-31","2013",1,"January","Poland","Outflow","total",288.19
"2013-01-31","2013",1,"January","Latvia","Outflow","total",213.83
"2013-01-31","2013",1,"January","Luxembourg","Outflow","total",4
"2013-01-31","2013",1,"January","Lebanon","Outflow","total",278.93
"2013-01-31","2013",1,"January","Liechtenstein","Outflow","total",10.62
"2013-01-31","2013",1,"January","Lithuania","Outflow","total",28.8
"2013-01-31","2013",1,"January","Canada","Outflow","total",732.65
"2013-01-31","2013",1,"January","Korea","Outflow","total",152.2
"2013-01-31","2013",1,"January","Cyprus","Outflow","total",1210.09
"2013-01-31","2013",1,"January","Hong Kong","Outflow","total",1711.88
"2013-01-31","2013",1,"January","Jordan","Outflow","total",103.64
"2013-01-31","2013",1,"January","Greece","Outflow","total",255.94
"2013-01-31","2013",1,"January","India","Outflow","total",61.23
"2013-01-31","2013",1,"January","Kazakhstan","Outflow","total",127.89
"2013-01-31","2013",1,"January","Kyrgyzstan","Outflow","total",9.11
"2013-01-31","2013",1,"January","Japan","Outflow","total",327.69
"2013-01-31","2013",1,"January","United Kingdom of Great Britain and Northern Ireland","Outflow","total",1628.16
"2013-01-31","2013",1,"January","Isle of Man","Outflow","total",0
"2013-01-31","2013",1,"January","Monaco","Outflow","total",46.16
"2013-01-31","2013",1,"January","Netherlands","Outflow","total",478.04
"2013-01-31","2013",1,"January","Sweden","Outflow","total",162.61
"2013-01-31","2013",1,"January","Switzerland","Outflow","total",404.06
"2013-01-31","2013",1,"January","Czechia","Outflow","total",713.73
"2013-01-31","2013",1,"January","China","Outflow","total",6953.86
"2013-01-31","2013",1,"January","Portugal","Outflow","total",6.33
"2013-01-31","2013",1,"January","Russian Federation","Outflow","total",19343.45
"2013-01-31","2013",1,"January","Saudi Arabia","Outflow","total",0
"2013-01-31","2013",1,"January","Singapore","Outflow","total",30.13
"2013-01-31","2013",1,"January","Georgia","Outflow","total",2150.63
"2013-01-31","2013",1,"January","Uzbekistan","Outflow","total",313.33
"2013-01-31","2013",1,"January","Ukraine","Outflow","total",1212.48
"2013-01-31","2013",1,"January","Qatar","Outflow","total",0
"2013-01-31","2013",1,"January","Kuwait","Outflow","total",107.2
"2013-01-31","2013",1,"January","France","Outflow","total",1267.32
"2013-01-31","2013",1,"January","Others","Outflow","total",1495.2099999999991
"2013-01-31","2013",1,"January","Total","Outflow","total",59716.99
"2013-01-31","2013",1,"January","Australia","Net inflow","total",112.90999999999998
"2013-01-31","2013",1,"January","Austria","Net inflow","total",17.939999999999998
"2013-01-31","2013",1,"January","United Arab Emirates","Net inflow","total",-1758.73
"2013-01-31","2013",1,"January","USA","Net inflow","total",1181.08
"2013-01-31","2013",1,"January","Belgium","Net inflow","total",585.72
"2013-01-31","2013",1,"January","Belarus","Net inflow","total",36.44000000000001
"2013-01-31","2013",1,"January","Bulgaria","Net inflow","total",-123.61999999999999
"2013-01-31","2013",1,"January","Germany","Net inflow","total",-307.07000000000016
"2013-01-31","2013",1,"January","Denmark","Net inflow","total",131.17000000000002
"2013-01-31","2013",1,"January","Egypt","Net inflow","total",-29.09
"2013-01-31","2013",1,"January","Turkey","Net inflow","total",-1466.45
"2013-01-31","2013",1,"January","Israel","Net inflow","total",60.07
"2013-01-31","2013",1,"January","Spain","Net inflow","total",-52.48000000000002
"2013-01-31","2013",1,"January","Ireland","Net inflow","total",35.24
"2013-01-31","2013",1,"January","Italy","Net inflow","total",-907.6500000000001
"2013-01-31","2013",1,"January","Iran","Net inflow","total",180.1
"2013-01-31","2013",1,"January","Poland","Net inflow","total",-107.87
"2013-01-31","2013",1,"January","Latvia","Net inflow","total",41.329999999999984
"2013-01-31","2013",1,"January","Luxembourg","Net inflow","total",208.06
"2013-01-31","2013",1,"January","Lebanon","Net inflow","total",2805.73
"2013-01-31","2013",1,"January","Liechtenstein","Net inflow","total",8.69
"2013-01-31","2013",1,"January","Lithuania","Net inflow","total",49.33
"2013-01-31","2013",1,"January","Canada","Net inflow","total",-346.44
"2013-01-31","2013",1,"January","Korea","Net inflow","total",-127.76999999999998
"2013-01-31","2013",1,"January","Cyprus","Net inflow","total",-35.63999999999987
"2013-01-31","2013",1,"January","Hong Kong","Net inflow","total",-24.910000000000082
"2013-01-31","2013",1,"January","Jordan","Net inflow","total",-7.180000000000007
"2013-01-31","2013",1,"January","Greece","Net inflow","total",247.70999999999998
"2013-01-31","2013",1,"January","India","Net inflow","total",77.01000000000002
"2013-01-31","2013",1,"January","Kazakhstan","Net inflow","total",1442.52
"2013-01-31","2013",1,"January","Kyrgyzstan","Net inflow","total",0.0600000000000005
"2013-01-31","2013",1,"January","Japan","Net inflow","total",-285.34
"2013-01-31","2013",1,"January","United Kingdom of Great Britain and Northern Ireland","Net inflow","total",1312.5199999999998
"2013-01-31","2013",1,"January","Isle of Man","Net inflow","total",0.15
"2013-01-31","2013",1,"January","Monaco","Net inflow","total",-36.86
"2013-01-31","2013",1,"January","Netherlands","Net inflow","total",214.81
"2013-01-31","2013",1,"January","Sweden","Net inflow","total",268.24
"2013-01-31","2013",1,"January","Switzerland","Net inflow","total",2118.93
"2013-01-31","2013",1,"January","Czechia","Net inflow","total",-600.74
"2013-01-31","2013",1,"January","China","Net inflow","total",-6178.129999999999
"2013-01-31","2013",1,"January","Portugal","Net inflow","total",61.22
"2013-01-31","2013",1,"January","Russian Federation","Net inflow","total",50372.479999999996
"2013-01-31","2013",1,"January","Saudi Arabia","Net inflow","total",1315.47
"2013-01-31","2013",1,"January","Singapore","Net inflow","total",-18.84
"2013-01-31","2013",1,"January","Georgia","Net inflow","total",-1424.1200000000001
"2013-01-31","2013",1,"January","Uzbekistan","Net inflow","total",-66.51999999999998
"2013-01-31","2013",1,"January","Ukraine","Net inflow","total",-97.37000000000012
"2013-01-31","2013",1,"January","Qatar","Net inflow","total",6.57
"2013-01-31","2013",1,"January","Kuwait","Net inflow","total",92.01
"2013-01-31","2013",1,"January","France","Net inflow","total",-110.06999999999994
"2013-01-31","2013",1,"January","Others","Net inflow","total",3744.1600000000035
"2013-01-31","2013",1,"January","Total","Net inflow","total",52614.780000000006
"2013-01-31","2013",1,"January","Australia","Inflow","non-commercial",110.16
"2013-01-31","2013",1,"January","Austria","Inflow","non-commercial",150.68
"2013-01-31","2013",1,"January","United Arab Emirates","Inflow","non-commercial",593.76
"2013-01-31","2013",1,"January","USA","Inflow","non-commercial",4906.22
"2013-01-31","2013",1,"January","Belgium","Inflow","non-commercial",454.22
"2013-01-31","2013",1,"January","Belarus","Inflow","non-commercial",108.27
"2013-01-31","2013",1,"January","Bulgaria","Inflow","non-commercial",64.53
"2013-01-31","2013",1,"January","Germany","Inflow","non-commercial",864.93
"2013-01-31","2013",1,"January","Denmark","Inflow","non-commercial",63.78
"2013-01-31","2013",1,"January","Egypt","Inflow","non-commercial",30.05
"2013-01-31","2013",1,"January","Turkey","Inflow","non-commercial",87.29
"2013-01-31","2013",1,"January","Israel","Inflow","non-commercial",117.11
"2013-01-31","2013",1,"January","Spain","Inflow","non-commercial",419.67
"2013-01-31","2013",1,"January","Ireland","Inflow","non-commercial",38.74
"2013-01-31","2013",1,"January","Italy","Inflow","non-commercial",156.89
"2013-01-31","2013",1,"January","Iran","Inflow","non-commercial",4.1
"2013-01-31","2013",1,"January","Poland","Inflow","non-commercial",139.26
"2013-01-31","2013",1,"January","Latvia","Inflow","non-commercial",54.93
"2013-01-31","2013",1,"January","Luxembourg","Inflow","non-commercial",4.24
"2013-01-31","2013",1,"January","Lebanon","Inflow","non-commercial",110.18
"2013-01-31","2013",1,"January","Liechtenstein","Inflow","non-commercial",19.31
"2013-01-31","2013",1,"January","Lithuania","Inflow","non-commercial",37.45
"2013-01-31","2013",1,"January","Canada","Inflow","non-commercial",276.43
"2013-01-31","2013",1,"January","Korea","Inflow","non-commercial",22.43
"2013-01-31","2013",1,"January","Cyprus","Inflow","non-commercial",260.5
"2013-01-31","2013",1,"January","Hong Kong","Inflow","non-commercial",64.66
"2013-01-31","2013",1,"January","Jordan","Inflow","non-commercial",20.14
"2013-01-31","2013",1,"January","Greece","Inflow","non-commercial",453.27
"2013-01-31","2013",1,"January","India","Inflow","non-commercial",46.32
"2013-01-31","2013",1,"January","Kazakhstan","Inflow","non-commercial",1472.93
"2013-01-31","2013",1,"January","Kyrgyzstan","Inflow","non-commercial",9.17
"2013-01-31","2013",1,"January","Japan","Inflow","non-commercial",17.95
"2013-01-31","2013",1,"January","United Kingdom of Great Britain and Northern Ireland","Inflow","non-commercial",608.88
"2013-01-31","2013",1,"January","Isle of Man","Inflow","non-commercial",0.15
"2013-01-31","2013",1,"January","Monaco","Inflow","non-commercial",9.3
"2013-01-31","2013",1,"January","Netherlands","Inflow","non-commercial",212.37
"2013-01-31","2013",1,"January","Sweden","Inflow","non-commercial",180.29
"2013-01-31","2013",1,"January","Switzerland","Inflow","non-commercial",806.84
"2013-01-31","2013",1,"January","Czechia","Inflow","non-commercial",52.58
"2013-01-31","2013",1,"January","China","Inflow","non-commercial",200.55
"2013-01-31","2013",1,"January","Portugal","Inflow","non-commercial",45.88
"2013-01-31","2013",1,"January","Russian Federation","Inflow","non-commercial",65388.81
"2013-01-31","2013",1,"January","Saudi Arabia","Inflow","non-commercial",704.12
"2013-01-31","2013",1,"January","Singapore","Inflow","non-commercial",10.73
"2013-01-31","2013",1,"January","Georgia","Inflow","non-commercial",262.72
"2013-01-31","2013",1,"January","Uzbekistan","Inflow","non-commercial",246.81
"2013-01-31","2013",1,"January","Ukraine","Inflow","non-commercial",1086.95
"2013-01-31","2013",1,"January","Qatar","Inflow","non-commercial",6.57
"2013-01-31","2013",1,"January","Kuwait","Inflow","non-commercial",94.34
"2013-01-31","2013",1,"January","France","Inflow","non-commercial",965.01
"2013-01-31","2013",1,"January","Others","Inflow","non-commercial",1170.9300000000221
"2013-01-31","2013",1,"January","Total","Inflow","non-commercial",83233.4
"2013-01-31","2013",1,"January","Australia","Outflow","non-commercial",40.76
"2013-01-31","2013",1,"January","Austria","Outflow","non-commercial",64.93
"2013-01-31","2013",1,"January","United Arab Emirates","Outflow","non-commercial",664.24
"2013-01-31","2013",1,"January","USA","Outflow","non-commercial",2621.64
"2013-01-31","2013",1,"January","Belgium","Outflow","non-commercial",158.6
"2013-01-31","2013",1,"January","Belarus","Outflow","non-commercial",40.43
"2013-01-31","2013",1,"January","Bulgaria","Outflow","non-commercial",105.5
"2013-01-31","2013",1,"January","Germany","Outflow","non-commercial",535.98
"2013-01-31","2013",1,"January","Denmark","Outflow","non-commercial",16.2
"2013-01-31","2013",1,"January","Egypt","Outflow","non-commercial",56.46
"2013-01-31","2013",1,"January","Turkey","Outflow","non-commercial",304.1
"2013-01-31","2013",1,"January","Israel","Outflow","non-commercial",53.62
"2013-01-31","2013",1,"January","Spain","Outflow","non-commercial",254.45
"2013-01-31","2013",1,"January","Ireland","Outflow","non-commercial",4.65
"2013-01-31","2013",1,"January","Italy","Outflow","non-commercial",103.76
"2013-01-31","2013",1,"January","Iran","Outflow","non-commercial",0
"2013-01-31","2013",1,"January","Poland","Outflow","non-commercial",108.24
"2013-01-31","2013",1,"January","Latvia","Outflow","non-commercial",25.57
"2013-01-31","2013",1,"January","Luxembourg","Outflow","non-commercial",4
"2013-01-31","2013",1,"January","Lebanon","Outflow","non-commercial",30.05
"2013-01-31","2013",1,"January","Liechtenstein","Outflow","non-commercial",0
"2013-01-31","2013",1,"January","Lithuania","Outflow","non-commercial",13.2
"2013-01-31","2013",1,"January","Canada","Outflow","non-commercial",293.31
"2013-01-31","2013",1,"January","Korea","Outflow","non-commercial",77.78
"2013-01-31","2013",1,"January","Cyprus","Outflow","non-commercial",44.67
"2013-01-31","2013",1,"January","Hong Kong","Outflow","non-commercial",174.49
"2013-01-31","2013",1,"January","Jordan","Outflow","non-commercial",1
"2013-01-31","2013",1,"January","Greece","Outflow","non-commercial",155.38
"2013-01-31","2013",1,"January","India","Outflow","non-commercial",14.23
"2013-01-31","2013",1,"January","Kazakhstan","Outflow","non-commercial",127.89
"2013-01-31","2013",1,"January","Kyrgyzstan","Outflow","non-commercial",5.11
"2013-01-31","2013",1,"January","Japan","Outflow","non-commercial",82.72
"2013-01-31","2013",1,"January","United Kingdom of Great Britain and Northern Ireland","Outflow","non-commercial",419.09
"2013-01-31","2013",1,"January","Isle of Man","Outflow","non-commercial",0
"2013-01-31","2013",1,"January","Monaco","Outflow","non-commercial",1.58
"2013-01-31","2013",1,"January","Netherlands","Outflow","non-commercial",77.48
"2013-01-31","2013",1,"January","Sweden","Outflow","non-commercial",102.45
"2013-01-31","2013",1,"January","Switzerland","Outflow","non-commercial",66.86
"2013-01-31","2013",1,"January","Czechia","Outflow","non-commercial",106.71
"2013-01-31","2013",1,"January","China","Outflow","non-commercial",700.92
"2013-01-31","2013",1,"January","Portugal","Outflow","non-commercial",0.54
"2013-01-31","2013",1,"January","Russian Federation","Outflow","non-commercial",10458.45
"2013-01-31","2013",1,"January","Saudi Arabia","Outflow","non-commercial",0
"2013-01-31","2013",1,"January","Singapore","Outflow","non-commercial",0.56
"2013-01-31","2013",1,"January","Georgia","Outflow","non-commercial",968.68
"2013-01-31","2013",1,"January","Uzbekistan","Outflow","non-commercial",32.36
"2013-01-31","2013",1,"January","Ukraine","Outflow","non-commercial",891.48
"2013-01-31","2013",1,"January","Qatar","Outflow","non-commercial",0
"2013-01-31","2013",1,"January","Kuwait","Outflow","non-commercial",9.2
"2013-01-31","2013",1,"January","France","Outflow","non-commercial",290.41
"2013-01-31","2013",1,"January","Others","Outflow","non-commercial",337.1299999999974
"2013-01-31","2013",1,"January","Total","Outflow","non-commercial",20646.86
"2013-01-31","2013",1,"January","Australia","Net inflow","non-commercial",69.4
"2013-01-31","2013",1,"January","Austria","Net inflow","non-commercial",85.75
"2013-01-31","2013",1,"January","United Arab Emirates","Net inflow","non-commercial",-70.48000000000002
"2013-01-31","2013",1,"January","USA","Net inflow","non-commercial",2284.5800000000004
"2013-01-31","2013",1,"January","Belgium","Net inflow","non-commercial",295.62
"2013-01-31","2013",1,"January","Belarus","Net inflow","non-commercial",67.84
"2013-01-31","2013",1,"January","Bulgaria","Net inflow","non-commercial",-40.97
"2013-01-31","2013",1,"January","Germany","Net inflow","non-commercial",328.94999999999993
"2013-01-31","2013",1,"January","Denmark","Net inflow","non-commercial",47.58
"2013-01-31","2013",1,"January","Egypt","Net inflow","non-commercial",-26.41
"2013-01-31","2013",1,"January","Turkey","Net inflow","non-commercial",-216.81
"2013-01-31","2013",1,"January","Israel","Net inflow","non-commercial",63.49
"2013-01-31","2013",1,"January","Spain","Net inflow","non-commercial",165.22000000000003
"2013-01-31","2013",1,"January","Ireland","Net inflow","non-commercial",34.09
"2013-01-31","2013",1,"January","Italy","Net inflow","non-commercial",53.12999999999998
"2013-01-31","2013",1,"January","Iran","Net inflow","non-commercial",4.1
"2013-01-31","2013",1,"January","Poland","Net inflow","non-commercial",31.019999999999996
"2013-01-31","2013",1,"January","Latvia","Net inflow","non-commercial",29.36
"2013-01-31","2013",1,"January","Luxembourg","Net inflow","non-commercial",0.2400000000000002
"2013-01-31","2013",1,"January","Lebanon","Net inflow","non-commercial",80.13000000000001
"2013-01-31","2013",1,"January","Liechtenstein","Net inflow","non-commercial",19.31
"2013-01-31","2013",1,"January","Lithuania","Net inflow","non-commercial",24.250000000000004
"2013-01-31","2013",1,"January","Canada","Net inflow","non-commercial",-16.879999999999995
"2013-01-31","2013",1,"January","Korea","Net inflow","non-commercial",-55.35
"2013-01-31","2013",1,"January","Cyprus","Net inflow","non-commercial",215.82999999999998
"2013-01-31","2013",1,"January","Hong Kong","Net inflow","non-commercial",-109.83000000000001
"2013-01-31","2013",1,"January","Jordan","Net inflow","non-commercial",19.14
"2013-01-31","2013",1,"January","Greece","Net inflow","non-commercial",297.89
"2013-01-31","2013",1,"January","India","Net inflow","non-commercial",32.09
"2013-01-31","2013",1,"January","Kazakhstan","Net inflow","non-commercial",1345.04
"2013-01-31","2013",1,"January","Kyrgyzstan","Net inflow","non-commercial",4.06
"2013-01-31","2013",1,"January","Japan","Net inflow","non-commercial",-64.77
"2013-01-31","2013",1,"January","United Kingdom of Great Britain and Northern Ireland","Net inflow","non-commercial",189.79000000000002
"2013-01-31","2013",1,"January","Isle of Man","Net inflow","non-commercial",0.15
"2013-01-31","2013",1,"January","Monaco","Net inflow","non-commercial",7.720000000000001
"2013-01-31","2013",1,"January","Netherlands","Net inflow","non-commercial",134.89
"2013-01-31","2013",1,"January","Sweden","Net inflow","non-commercial",77.83999999999999
"2013-01-31","2013",1,"January","Switzerland","Net inflow","non-commercial",739.98
"2013-01-31","2013",1,"January","Czechia","Net inflow","non-commercial",-54.129999999999995
"2013-01-31","2013",1,"January","China","Net inflow","non-commercial",-500.36999999999995
"2013-01-31","2013",1,"January","Portugal","Net inflow","non-commercial",45.34
"2013-01-31","2013",1,"January","Russian Federation","Net inflow","non-commercial",54930.36
"2013-01-31","2013",1,"January","Saudi Arabia","Net inflow","non-commercial",704.12
"2013-01-31","2013",1,"January","Singapore","Net inflow","non-commercial",10.17
"2013-01-31","2013",1,"January","Georgia","Net inflow","non-commercial",-705.9599999999999
"2013-01-31","2013",1,"January","Uzbekistan","Net inflow","non-commercial",214.45
"2013-01-31","2013",1,"January","Ukraine","Net inflow","non-commercial",195.47000000000003
"2013-01-31","2013",1,"January","Qatar","Net inflow","non-commercial",6.57
"2013-01-31","2013",1,"January","Kuwait","Net inflow","non-commercial",85.14
"2013-01-31","2013",1,"January","France","Net inflow","non-commercial",674.5999999999999
"2013-01-31","2013",1,"January","Others","Net inflow","non-commercial",833.7999999999956
"2013-01-31","2013",1,"January","Total","Net inflow","non-commercial",62586.53999999999
"2013-02-28","2013",2,"February","Australia","Inflow","total",199.04
"2013-02-28","2013",2,"February","Austria","Inflow","total",270.99
"2013-02-28","2013",2,"February","United Arab Emirates","Inflow","total",1313.16
"2013-02-28","2013",2,"February","USA","Inflow","total",8878.24
"2013-02-28","2013",2,"February","Belgium","Inflow","total",586.49
"2013-02-28","2013",2,"February","Belarus","Inflow","total",172.87
"2013-02-28","2013",2,"February","Bulgaria","Inflow","total",129.95
"2013-02-28","2013",2,"February","Germany","Inflow","total",1474.66
"2013-02-28","2013",2,"February","Denmark","Inflow","total",173.66
"2013-02-28","2013",2,"February","Egypt","Inflow","total",5.87
"2013-02-28","2013",2,"February","Turkey","Inflow","total",370.44
"2013-02-28","2013",2,"February","Israel","Inflow","total",169.78
"2013-02-28","2013",2,"February","Spain","Inflow","total",491.21
"2013-02-28","2013",2,"February","Ireland","Inflow","total",82.2
"2013-02-28","2013",2,"February","Italy","Inflow","total",345.99
"2013-02-28","2013",2,"February","Iran","Inflow","total",1.13
"2013-02-28","2013",2,"February","Poland","Inflow","total",195.06
"2013-02-28","2013",2,"February","Latvia","Inflow","total",863.9
"2013-02-28","2013",2,"February","Luxembourg","Inflow","total",24.71
"2013-02-28","2013",2,"February","Lebanon","Inflow","total",1318.32
"2013-02-28","2013",2,"February","Liechtenstein","Inflow","total",231.47
"2013-02-28","2013",2,"February","Lithuania","Inflow","total",44.87
"2013-02-28","2013",2,"February","Canada","Inflow","total",469.41
"2013-02-28","2013",2,"February","Korea","Inflow","total",21.99
"2013-02-28","2013",2,"February","Cyprus","Inflow","total",7380.21
"2013-02-28","2013",2,"February","Hong Kong","Inflow","total",280.96
"2013-02-28","2013",2,"February","Jordan","Inflow","total",503.16
"2013-02-28","2013",2,"February","Greece","Inflow","total",488.91
"2013-02-28","2013",2,"February","India","Inflow","total",66.16
"2013-02-28","2013",2,"February","Kazakhstan","Inflow","total",1784.96
"2013-02-28","2013",2,"February","Kyrgyzstan","Inflow","total",15.12
"2013-02-28","2013",2,"February","Japan","Inflow","total",19.02
"2013-02-28","2013",2,"February","United Kingdom of Great Britain and Northern Ireland","Inflow","total",3305.61
"2013-02-28","2013",2,"February","Isle of Man","Inflow","total",0
"2013-02-28","2013",2,"February","Monaco","Inflow","total",104.94
"2013-02-28","2013",2,"February","Netherlands","Inflow","total",356.24
"2013-02-28","2013",2,"February","Sweden","Inflow","total",303.82
"2013-02-28","2013",2,"February","Switzerland","Inflow","total",2312.01
"2013-02-28","2013",2,"February","Czechia","Inflow","total",176.8
"2013-02-28","2013",2,"February","China","Inflow","total",240.37
"2013-02-28","2013",2,"February","Portugal","Inflow","total",28.37
"2013-02-28","2013",2,"February","Russian Federation","Inflow","total",105895.82
"2013-02-28","2013",2,"February","Saudi Arabia","Inflow","total",1721.44
"2013-02-28","2013",2,"February","Singapore","Inflow","total",537.17
"2013-02-28","2013",2,"February","Georgia","Inflow","total",528.05
"2013-02-28","2013",2,"February","Uzbekistan","Inflow","total",302.85
"2013-02-28","2013",2,"February","Ukraine","Inflow","total",1397.8
"2013-02-28","2013",2,"February","Qatar","Inflow","total",140.25
"2013-02-28","2013",2,"February","Kuwait","Inflow","total",800.43
"2013-02-28","2013",2,"February","France","Inflow","total",1421.76
"2013-02-28","2013",2,"February","Others","Inflow","total",2516
"2013-02-28","2013",2,"February","Total","Inflow","total",150463.64
"2013-02-28","2013",2,"February","Australia","Outflow","total",50.63
"2013-02-28","2013",2,"February","Austria","Outflow","total",300.25
"2013-02-28","2013",2,"February","United Arab Emirates","Outflow","total",2994.6
"2013-02-28","2013",2,"February","USA","Outflow","total",15397.54
"2013-02-28","2013",2,"February","Belgium","Outflow","total",391.42
"2013-02-28","2013",2,"February","Belarus","Outflow","total",83.73
"2013-02-28","2013",2,"February","Bulgaria","Outflow","total",278.55
"2013-02-28","2013",2,"February","Germany","Outflow","total",2828.9
"2013-02-28","2013",2,"February","Denmark","Outflow","total",36.64
"2013-02-28","2013",2,"February","Egypt","Outflow","total",33.64
"2013-02-28","2013",2,"February","Turkey","Outflow","total",2278
"2013-02-28","2013",2,"February","Israel","Outflow","total",71.62
"2013-02-28","2013",2,"February","Spain","Outflow","total",1086.3
"2013-02-28","2013",2,"February","Ireland","Outflow","total",0.92
"2013-02-28","2013",2,"February","Italy","Outflow","total",1158.93
"2013-02-28","2013",2,"February","Iran","Outflow","total",3.3
"2013-02-28","2013",2,"February","Poland","Outflow","total",490.17
"2013-02-28","2013",2,"February","Latvia","Outflow","total",712.98
"2013-02-28","2013",2,"February","Luxembourg","Outflow","total",9.21
"2013-02-28","2013",2,"February","Lebanon","Outflow","total",627.63
"2013-02-28","2013",2,"February","Liechtenstein","Outflow","total",8.3
"2013-02-28","2013",2,"February","Lithuania","Outflow","total",74.66
"2013-02-28","2013",2,"February","Canada","Outflow","total",442.95
"2013-02-28","2013",2,"February","Korea","Outflow","total",58.25
"2013-02-28","2013",2,"February","Cyprus","Outflow","total",393.43
"2013-02-28","2013",2,"February","Hong Kong","Outflow","total",831.85
"2013-02-28","2013",2,"February","Jordan","Outflow","total",4.43
"2013-02-28","2013",2,"February","Greece","Outflow","total",389.27
"2013-02-28","2013",2,"February","India","Outflow","total",253.68
"2013-02-28","2013",2,"February","Kazakhstan","Outflow","total",221.3
"2013-02-28","2013",2,"February","Kyrgyzstan","Outflow","total",4.46
"2013-02-28","2013",2,"February","Japan","Outflow","total",450.09
"2013-02-28","2013",2,"February","United Kingdom of Great Britain and Northern Ireland","Outflow","total",2929.95
