nrow,level,codes,eng
264,4,3.5.1.,Net acquisition of financial assets
265,4,3.5.2.,Net incurrence of liabilities
266,5,,Other equity
267,6,,Net acquisition of financial assets
268,6,,Net incurrence of liabilities
269,5,,Currency and deposits
270,6,,Net acquisition of financial assets
271,7,,Central banks
272,7,,"Deposit-taking corporations, except central bank"
273,8,,Short-term
274,8,,Long-term
275,7,,General government
276,7,,Other sectors
277,8,,Short-term
278,8,,Long-term
279,6,,Net incurrence of liabilities
280,7,,Central banks
281,8,,Short-term
282,8,,Long-term
283,7,,"Deposit-taking corporations, except the central bank"
284,8,,Short-term
285,8,,Long-term
286,7,,General government
287,7,,Other sectors
288,5,,Loans
289,6,,Net acquisition of financial assets
290,7,,Central bank
291,7,,"Deposit-taking corporations, except the central bank"
292,8,,Short-term
293,8,,Long-term
294,7,,General government
295,9,,Credit and loans with the IMF (other than reserves)
296,9,,Other short-term
297,9,,Other long-term
298,7,,Other sectors
299,8,,Short-term
300,8,,Long-term
301,6,,Net incurrence of liabilities
302,7,,Central bank
303,8,,Credit and loans with the IMF
304,9,,Other short-term
305,9,,Other long-term
306,7,,"Deposit-taking corporations, except the central bank"
307,8,,Short-term
308,8,,Long-term
309,7,,General government
310,9,,Credit and loans with the IMF
311,9,,Other short-term
312,9,,Other long-term
313,7,,Other sectors
314,8,,Short-term
315,8,,Long-term
316,5,,"Insurance, pension, and standardized guarantee schemes"
317,6,,Net acquisition of financial assets
318,7,,Other sectors
319,6,,Net incurrence of liabilities
320,7,,Other sectors
321,5,,Trade credit and advances
322,6,,Net acquisition of financial assets
323,7,,Central bank
324,7,,"Deposit-taking corporations, except central bank"
325,7,,General government
326,7,,Other sectors
327,6,,Net incurrence of liabilities
328,7,,Central bank
329,7,,"Deposit-taking corporations, except central bank"
330,7,,General government
331,7,,Other sectors
332,5,,Other accounts receivable/payable
333,6,,Net acquisition of financial assets
334,7,,Central bank
335,7,,"Deposit-taking corporations, except central bank"
336,7,,General government
337,7,,Other sectors
338,6,,Net incurrence of liabilities
339,7,,Central bank
340,7,,"Deposit-taking corporations, except central bank"
341,7,,General government
342,7,,Other sectors
343,2,,Special drawing rights (Net incurrence of liabilities)
344,3,3.6.,RESERVE ASSETS
345,4,3.6.1.,Monetary gold
346,4,3.6.2.,Special drawing rights
347,4,3.6.3.,Reserve position in the IMF
348,4,3.6.4.,Other reserve assets
349,5,3.6.4.1.,Currency and deposits
350,6,3.6.4.1.1.,Claims on monetary authorities
351,6,3.6.4.1.2.,Claims on other entities
352,5,3.6.4.2.,Securities
353,6,3.6.4.2.1.,Debt securities
354,7,3.6.4.2.1.1.,Short-term
355,7,3.6.4.2.1.2.,Long-term
356,6,3.6.4.2.2.,Equity and investment fund shares
357,5,3.6.4.3.,Financial derivatives
358,5,3.6.4.4.,Other claims
359,2,,Net errors and omissions
